country,carrier,value,year,unit
XY,Solar,37188287.75661476,2045,TWh
XY,Wind,19770430.56198068,2045,TWh
YZ,Solar,62540068.29397746,2045,TWh
YZ,Water,63762750.0,2045,TWh
YZ,Wind,68882097.78710234,2045,TWh
XY,Bio,136156783.00012237,2045,TWh
XY,Gas,9000000.00000001,2045,TWh
XY,Gas-imp,6950007.143110752,2045,TWh
XY,Hrdc,71408614.28559498,2045,TWh
XY,Lig,60342857.14283201,2045,TWh
XY,Uranium,29213333.333351195,2045,TWh
XY,Waste,259875.00000057218,2045,TWh
YZ,Bio,70971057.78019711,2045,TWh
YZ,Gas,8999999.999999989,2045,TWh
YZ,Hrdc,128620112.58604723,2045,TWh
YZ,Lig,35590319.741895884,2045,TWh
YZ,Oil,6332410.972955504,2045,TWh
