country,carrier,value,year,unit
XY,Solar,107902077.79323883,2050,TWh
XY,Wind,25155994.667325992,2050,TWh
YZ,Solar,70460058.51857625,2050,TWh
YZ,Water,63762750.0,2050,TWh
YZ,Wind,69793337.56602216,2050,TWh
XY,Bio,131452364.31466132,2050,TWh
XY,Gas,2742764.533201231,2050,TWh
XY,Hrdc,23053855.997151263,2050,TWh
XY,Lig,59136229.150991246,2050,TWh
XY,Uranium,29213333.333351195,2050,TWh
XY,Waste,259874.99999999994,2050,TWh
YZ,Bio,71210925.53847948,2050,TWh
YZ,Gas,9999999.999999996,2050,TWh
YZ,Hrdc,118501019.34329414,2050,TWh
YZ,Lig,35327578.68054652,2050,TWh
YZ,Oil,14184274.331080908,2050,TWh
