snapshot,country,technology,value,unit
2050-01-01 00:00:00,XY,IND_BOILER,8796.9,MW
2050-01-02 01:00:00,XY,IND_BOILER,9842.8,MW
2050-01-03 02:00:00,XY,IND_BOILER,9742.6,MW
2050-01-04 03:00:00,XY,IND_BOILER,9898.8,MW
2050-01-05 04:00:00,XY,IND_BOILER,8460.3,MW
2050-01-06 05:00:00,XY,IND_BOILER,8108.9,MW
2050-01-07 06:00:00,XY,IND_BOILER,10733.4,MW
2050-01-08 07:00:00,XY,IND_BOILER,9063.2,MW
2050-01-09 08:00:00,XY,IND_BOILER,9013.1,MW
2050-01-10 09:00:00,XY,IND_BOILER,8233.8,MW
2050-01-11 10:00:00,XY,IND_BOILER,6851.9,MW
2050-01-12 11:00:00,XY,IND_BOILER,5660.3,MW
2050-01-13 12:00:00,XY,IND_BOILER,5808.6,MW
2050-01-14 13:00:00,XY,IND_BOILER,6664.5,MW
2050-01-15 14:00:00,XY,IND_BOILER,7088.8,MW
2050-01-16 15:00:00,XY,IND_BOILER,8041.5,MW
2050-01-17 16:00:00,XY,IND_BOILER,8094.3,MW
2050-01-18 17:00:00,XY,IND_BOILER,7733.7,MW
2050-01-19 18:00:00,XY,IND_BOILER,9252.6,MW
2050-01-20 19:00:00,XY,IND_BOILER,12211.2,MW
2050-01-21 20:00:00,XY,IND_BOILER,12402.0,MW
2050-01-22 21:00:00,XY,IND_BOILER,12783.6,MW
2050-01-23 22:00:00,XY,IND_BOILER,12030.6,MW
2050-01-24 23:00:00,XY,IND_BOILER,10870.2,MW
2050-01-26 00:00:00,XY,IND_BOILER,8428.8,MW
2050-01-27 01:00:00,XY,IND_BOILER,8661.4,MW
2050-01-28 02:00:00,XY,IND_BOILER,8778.2,MW
2050-01-29 03:00:00,XY,IND_BOILER,8217.6,MW
2050-01-30 04:00:00,XY,IND_BOILER,8499.2,MW
2050-01-31 05:00:00,XY,IND_BOILER,8428.8,MW
2050-02-01 06:00:00,XY,IND_BOILER,8358.4,MW
2050-02-02 07:00:00,XY,IND_BOILER,8851.2,MW
2050-02-03 08:00:00,XY,IND_BOILER,9430.1,MW
2050-02-04 09:00:00,XY,IND_BOILER,9476.2,MW
2050-02-05 10:00:00,XY,IND_BOILER,9436.8,MW
2050-02-06 11:00:00,XY,IND_BOILER,7639.8,MW
2050-02-07 12:00:00,XY,IND_BOILER,6721.4,MW
2050-02-08 13:00:00,XY,IND_BOILER,4885.4,MW
2050-02-09 14:00:00,XY,IND_BOILER,5231.2,MW
2050-02-10 15:00:00,XY,IND_BOILER,7765.5,MW
2050-02-11 16:00:00,XY,IND_BOILER,9011.3,MW
2050-02-12 17:00:00,XY,IND_BOILER,9683.4,MW
2050-02-13 18:00:00,XY,IND_BOILER,11715.8,MW
2050-02-14 19:00:00,XY,IND_BOILER,12211.2,MW
2050-02-15 20:00:00,XY,IND_BOILER,9750.9,MW
2050-02-16 21:00:00,XY,IND_BOILER,9726.5,MW
2050-02-17 22:00:00,XY,IND_BOILER,11300.9,MW
2050-02-18 23:00:00,XY,IND_BOILER,10435.0,MW
2050-02-20 00:00:00,XY,IND_BOILER,9237.0,MW
2050-02-21 01:00:00,XY,IND_BOILER,8499.2,MW
2050-02-22 02:00:00,XY,IND_BOILER,7865.6,MW
2050-02-23 03:00:00,XY,IND_BOILER,7443.2,MW
2050-02-24 04:00:00,XY,IND_BOILER,7654.4,MW
2050-02-25 05:00:00,XY,IND_BOILER,8358.4,MW
2050-02-26 06:00:00,XY,IND_BOILER,9913.9,MW
