country,technology,carrier,year,value,unit
XY,BIOT,Bio,2035,265.58,Million usd
YZ,BIOT,Bio,2035,5.23,Million usd
XY,CCGT,Gas,2035,954.45,Million usd
YZ,CCGT,Gas,2035,575.08,Million usd
XY,EDLH,Electricity,2035,104.84,Million usd
YZ,EDLH,Electricity,2035,170.96,Million usd
YZ,EERH,Electricity,2035,227.65,Million usd
XY,EHPP,Electricity,2035,31.59,Million usd
YZ,EHPP,Electricity,2035,218.72,Million usd
XY,EIDT,Electricity,2035,210.82,Million usd
YZ,EIDT,Electricity,2035,243.66,Million usd
XY,ELTZ,Hyd,2035,6.9,Million usd
XY,EVCH-PRV,Electricity,2035,0.05,Million usd
YZ,EVCH-PRV,Electricity,2035,0.07,Million usd
XY,EVCH-PUB,Electricity,2035,0.03,Million usd
YZ,EVCH-PUB,Electricity,2035,0.05,Million usd
XY,HDAM,Water,2035,287.58,Million usd
YZ,HROR,Water,2035,1817.48,Million usd
XY,HYD,Hyd,2035,1.16,Million usd
XY,IND_BOILER,Bio,2035,127.22,Million usd
YZ,IND_BOILER,Bio,2035,197.53,Million usd
XY,IND_BOILER,Gas,2035,154.53,Million usd
YZ,IND_BOILER,Gas,2035,223.95,Million usd
XY,IND_BOILER,Hrdc,2035,89.29,Million usd
YZ,IND_BOILER,Hrdc,2035,143.73,Million usd
XY,IND_BOILER,Hyd,2035,1.97,Million usd
XY,IND_BOILER,Oil,2035,49.17,Million usd
YZ,IND_BOILER,Oil,2035,152.69,Million usd
XY,ITCN,Electricity,2035,17.16,Million usd
YZ,ITCN,Electricity,2035,17.21,Million usd
XY,NUCL,Uranium,2035,754.85,Million usd
YZ,OCGT,Gas,2035,435.38,Million usd
XY,OILT,Oil,2035,17.88,Million usd
YZ,OILT,Oil,2035,17.75,Million usd
XY,PHOT,Solar,2035,407.41,Million usd
YZ,PHOT,Solar,2035,330.71,Million usd
XY,RTPV,Solar,2035,27.98,Million usd
YZ,RTPV,Solar,2035,47.58,Million usd
XY,SubC,Hrdc,2035,254.35,Million usd
YZ,SubC,Hrdc,2035,760.38,Million usd
XY,SubC,Lig,2035,179.54,Million usd
YZ,SubC,Lig,2035,297.02,Million usd
YZ,SupC,Hrdc,2035,1002.45,Million usd
XY,WSTT,Waste,2035,7.92,Million usd
XY,WTON,Wind,2035,348.02,Million usd
YZ,WTON,Wind,2035,2807.3,Million usd
