snapshot,country,value,region,technology,unit
2035-01-01 00:00:00,XY,6958.0,CE,EIDT,MW
2035-01-02 01:00:00,XY,6958.0,CE,EIDT,MW
2035-01-03 02:00:00,XY,6958.0,CE,EIDT,MW
2035-01-04 03:00:00,XY,6958.0,CE,EIDT,MW
2035-01-05 04:00:00,XY,6958.0,CE,EIDT,MW
2035-01-06 05:00:00,XY,6958.0,CE,EIDT,MW
2035-01-07 06:00:00,XY,6958.0,CE,EIDT,MW
2035-01-08 07:00:00,XY,6958.0,CE,EIDT,MW
2035-01-09 08:00:00,XY,6958.0,CE,EIDT,MW
2035-01-10 09:00:00,XY,6958.0,CE,EIDT,MW
2035-01-11 10:00:00,XY,6958.0,CE,EIDT,MW
2035-01-12 11:00:00,XY,6958.0,CE,EIDT,MW
2035-01-13 12:00:00,XY,6958.0,CE,EIDT,MW
2035-01-14 13:00:00,XY,6958.0,CE,EIDT,MW
2035-01-15 14:00:00,XY,6958.0,CE,EIDT,MW
2035-01-16 15:00:00,XY,6958.0,CE,EIDT,MW
2035-01-17 16:00:00,XY,6958.0,CE,EIDT,MW
2035-01-18 17:00:00,XY,6958.0,CE,EIDT,MW
2035-01-19 18:00:00,XY,6958.0,CE,EIDT,MW
2035-01-20 19:00:00,XY,3598.0,CE,EIDT,MW
2035-01-21 20:00:00,XY,3740.0,CE,EIDT,MW
2035-01-22 21:00:00,XY,4479.9,CE,EIDT,MW
2035-01-23 22:00:00,XY,6958.0,CE,EIDT,MW
2035-01-24 23:00:00,XY,6958.0,CE,EIDT,MW
2035-01-26 00:00:00,XY,6958.0,CE,EIDT,MW
2035-01-27 01:00:00,XY,6958.0,CE,EIDT,MW
2035-01-28 02:00:00,XY,6958.0,CE,EIDT,MW
2035-01-29 03:00:00,XY,6958.0,CE,EIDT,MW
2035-01-30 04:00:00,XY,6958.0,CE,EIDT,MW
2035-01-31 05:00:00,XY,6958.0,CE,EIDT,MW
2035-02-01 06:00:00,XY,6958.0,CE,EIDT,MW
2035-02-02 07:00:00,XY,6958.0,CE,EIDT,MW
2035-02-03 08:00:00,XY,6958.0,CE,EIDT,MW
2035-02-04 09:00:00,XY,6958.0,CE,EIDT,MW
2035-02-05 10:00:00,XY,6958.0,CE,EIDT,MW
2035-02-06 11:00:00,XY,6958.0,CE,EIDT,MW
2035-02-07 12:00:00,XY,6958.0,CE,EIDT,MW
2035-02-08 13:00:00,XY,6958.0,CE,EIDT,MW
2035-02-09 14:00:00,XY,6958.0,CE,EIDT,MW
2035-02-10 15:00:00,XY,6958.0,CE,EIDT,MW
2035-02-11 16:00:00,XY,6958.0,CE,EIDT,MW
2035-02-12 17:00:00,XY,6958.0,CE,EIDT,MW
2035-02-13 18:00:00,XY,5854.7,CE,EIDT,MW
2035-02-14 19:00:00,XY,6958.0,CE,EIDT,MW
2035-02-15 20:00:00,XY,6958.0,CE,EIDT,MW
2035-02-16 21:00:00,XY,6958.0,CE,EIDT,MW
2035-02-17 22:00:00,XY,6958.0,CE,EIDT,MW
2035-02-18 23:00:00,XY,6958.0,CE,EIDT,MW
2035-02-20 00:00:00,XY,6958.0,CE,EIDT,MW
2035-02-21 01:00:00,XY,6958.0,CE,EIDT,MW
2035-02-22 02:00:00,XY,6816.0,CE,EIDT,MW
2035-02-23 03:00:00,XY,6390.0,CE,EIDT,MW
2035-02-24 04:00:00,XY,6603.0,CE,EIDT,MW
2035-02-25 05:00:00,XY,6958.0,CE,EIDT,MW
2035-02-26 06:00:00,XY,6958.0,CE,EIDT,MW
2035-02-27 07:00:00,XY,6958.0,CE,EIDT,MW
2035-02-28 08:00:00,XY,6958.0,CE,EIDT,MW
2035-03-01 09:00:00,XY,6958.0,CE,EIDT,MW
2035-03-02 10:00:00,XY,6958.0,CE,EIDT,MW
2035-03-03 11:00:00,XY,6958.0,CE,EIDT,MW
2035-03-04 12:00:00,XY,6958.0,CE,EIDT,MW
2035-03-05 13:00:00,XY,6958.0,CE,EIDT,MW
2035-03-06 14:00:00,XY,6958.0,CE,EIDT,MW
2035-03-07 15:00:00,XY,6958.0,CE,EIDT,MW
2035-03-08 16:00:00,XY,6958.0,CE,EIDT,MW
2035-03-09 17:00:00,XY,6958.0,CE,EIDT,MW
2035-03-10 18:00:00,XY,6958.0,CE,EIDT,MW
2035-03-11 19:00:00,XY,6336.0,CE,EIDT,MW
2035-03-12 20:00:00,XY,5606.9,CE,EIDT,MW
2035-03-13 21:00:00,XY,5945.6,CE,EIDT,MW
2035-03-14 22:00:00,XY,5850.9,CE,EIDT,MW
2035-03-15 23:00:00,XY,6958.0,CE,EIDT,MW
2035-03-17 00:00:00,XY,6958.0,CE,EIDT,MW
2035-03-18 01:00:00,XY,6958.0,CE,EIDT,MW
2035-03-19 02:00:00,XY,6958.0,CE,EIDT,MW
2035-03-20 03:00:00,XY,6958.0,CE,EIDT,MW
2035-03-21 04:00:00,XY,6958.0,CE,EIDT,MW
2035-03-22 05:00:00,XY,6674.0,CE,EIDT,MW
2035-03-23 06:00:00,XY,6958.0,CE,EIDT,MW
2035-03-24 07:00:00,XY,6958.0,CE,EIDT,MW
2035-03-25 08:00:00,XY,6958.0,CE,EIDT,MW
2035-03-26 09:00:00,XY,6958.0,CE,EIDT,MW
2035-03-27 10:00:00,XY,6958.0,CE,EIDT,MW
2035-03-28 11:00:00,XY,6958.0,CE,EIDT,MW
2035-03-29 12:00:00,XY,6958.0,CE,EIDT,MW
2035-03-30 13:00:00,XY,6958.0,CE,EIDT,MW
2035-03-31 14:00:00,XY,6958.0,CE,EIDT,MW
2035-04-01 15:00:00,XY,6958.0,CE,EIDT,MW
2035-04-02 16:00:00,XY,5758.0,CE,EIDT,MW
2035-04-03 17:00:00,XY,3811.0,CE,EIDT,MW
2035-04-04 18:00:00,XY,3385.0,CE,EIDT,MW
2035-04-05 19:00:00,XY,2995.1,CE,EIDT,MW
2035-04-06 20:00:00,XY,3496.7,CE,EIDT,MW
2035-04-07 21:00:00,XY,3456.0,CE,EIDT,MW
2035-04-08 22:00:00,XY,3527.0,CE,EIDT,MW
2035-04-09 23:00:00,XY,3959.1,CE,EIDT,MW
2035-04-11 00:00:00,XY,5810.0,CE,EIDT,MW
2035-04-12 01:00:00,XY,3822.8,CE,EIDT,MW
2035-04-13 02:00:00,XY,3741.2,CE,EIDT,MW
