snapshot,region,status,value,country,unit
2035-03-31 14:00:00,SO,charging,28.736842105290002,XY,MW
2035-04-01 15:00:00,CE,charging,28.63157894738,XY,MW
2035-04-02 16:00:00,NR,charging,34.00000000002,XY,MW
2035-04-03 17:00:00,SO,charging,26.84210526318,XY,MW
2035-04-04 18:00:00,CE,charging,24.25263157896,XY,MW
2035-04-05 19:00:00,NR,charging,28.80000000002,XY,MW
2035-04-06 20:00:00,SO,charging,22.736842105279997,XY,MW
2035-04-07 21:00:00,CE,charging,19.87368421053,XY,MW
2035-04-08 22:00:00,NR,charging,23.60000000001,XY,MW
2035-04-09 23:00:00,SO,charging,18.63157894738,XY,MW
2035-04-11 00:00:00,CE,charging,24.92631578949,XY,MW
2035-04-12 01:00:00,NR,charging,29.60000000002,XY,MW
2035-04-13 02:00:00,SO,charging,23.368421052659997,XY,MW
2035-04-14 03:00:00,CE,charging,27.28421052633,XY,MW
2035-04-15 04:00:00,NR,charging,32.400000000030005,XY,MW
2035-04-16 05:00:00,SO,charging,25.578947368450002,XY,MW
2035-04-17 06:00:00,CE,charging,14.14736842107,XY,MW
2035-04-18 07:00:00,NR,charging,16.80000000001,XY,MW
2035-04-19 08:00:00,SO,charging,13.263157894750002,XY,MW
2035-04-20 09:00:00,CE,charging,15.831578947370001,XY,MW
2035-04-21 10:00:00,NR,charging,18.80000000001,XY,MW
2035-04-22 11:00:00,SO,charging,14.842105263170001,XY,MW
2035-04-23 12:00:00,CE,charging,15.49473684211,XY,MW
2035-04-24 13:00:00,NR,charging,18.40000000001,XY,MW
2035-04-25 14:00:00,SO,charging,14.526315789489999,XY,MW
2035-04-26 15:00:00,CE,charging,13.81052631579,XY,MW
2035-04-27 16:00:00,NR,charging,16.40000000001,XY,MW
2035-04-28 17:00:00,SO,charging,12.94736842105,XY,MW
2035-04-29 18:00:00,CE,charging,6.40000000001,XY,MW
2035-04-30 19:00:00,NR,charging,7.6000000000100005,XY,MW
2035-05-01 20:00:00,SO,charging,6.00000000001,XY,MW
2035-05-02 21:00:00,CE,charging,8.75789473685,XY,MW
2035-05-03 22:00:00,NR,charging,10.40000000001,XY,MW
2035-05-04 23:00:00,SO,charging,8.21052631579,XY,MW
2035-05-06 00:00:00,CE,charging,12.46315789474,XY,MW
2035-05-07 01:00:00,NR,charging,14.80000000001,XY,MW
2035-05-08 02:00:00,SO,charging,11.684210526320001,XY,MW
2035-05-09 03:00:00,CE,charging,10.77894736843,XY,MW
2035-05-10 04:00:00,NR,charging,12.80000000001,XY,MW
2035-05-11 05:00:00,SO,charging,10.10526315791,XY,MW
2035-05-12 06:00:00,CE,charging,9.09473684211,XY,MW
2035-05-13 07:00:00,NR,charging,10.80000000001,XY,MW
2035-05-14 08:00:00,SO,charging,8.52631578949,XY,MW
2035-05-15 09:00:00,CE,charging,10.1052631579,XY,MW
2035-05-16 10:00:00,NR,charging,12.000000000010001,XY,MW
2035-05-17 11:00:00,SO,charging,9.47368421053,XY,MW
2035-05-18 12:00:00,CE,charging,13.47368421053,XY,MW
2035-05-19 13:00:00,NR,charging,16.00000000001,XY,MW
2035-05-20 14:00:00,SO,charging,12.631578947380001,XY,MW
2035-05-21 15:00:00,CE,charging,12.80000000001,XY,MW
2035-05-22 16:00:00,NR,charging,15.20000000001,XY,MW
2035-05-23 17:00:00,SO,charging,12.000000000010001,XY,MW
2035-05-24 18:00:00,CE,charging,19.20000000001,XY,MW
2035-05-25 19:00:00,NR,charging,22.80000000001,XY,MW
2035-05-26 20:00:00,SO,charging,18.00000000001,XY,MW
2035-05-27 21:00:00,CE,charging,21.221052631590002,XY,MW
2035-05-28 22:00:00,NR,charging,25.20000000001,XY,MW
2035-05-29 23:00:00,SO,charging,19.894736842120004,XY,MW
2035-05-31 00:00:00,CE,charging,26.27368421054,XY,MW
2035-06-01 01:00:00,NR,charging,31.20000000002,XY,MW
2035-06-02 02:00:00,SO,charging,24.63157894739,XY,MW
2035-06-03 03:00:00,CE,charging,27.6210526316,XY,MW
2035-06-04 04:00:00,NR,charging,32.80000000002,XY,MW
2035-06-05 05:00:00,SO,charging,25.89473684213,XY,MW
2035-06-06 06:00:00,CE,charging,28.96842105265,XY,MW
2035-06-07 07:00:00,NR,charging,34.400000000030005,XY,MW
2035-06-08 08:00:00,SO,charging,27.157894736870002,XY,MW
2035-06-09 09:00:00,CE,charging,29.64210526318,XY,MW
2035-06-10 10:00:00,NR,charging,35.20000000003,XY,MW
2035-06-11 11:00:00,SO,charging,27.78947368424,XY,MW
2035-06-12 12:00:00,CE,charging,28.294736842120003,XY,MW
2035-06-13 13:00:00,NR,charging,33.60000000003,XY,MW
2035-06-14 14:00:00,SO,charging,26.526315789500003,XY,MW
2035-06-15 15:00:00,CE,charging,29.97894736845,XY,MW
2035-06-16 16:00:00,NR,charging,35.60000000003,XY,MW
2035-06-17 17:00:00,SO,charging,28.10526315793,XY,MW
2035-06-18 18:00:00,CE,charging,22.56842105266,XY,MW
2035-06-19 19:00:00,NR,charging,26.80000000003,XY,MW
2035-06-20 20:00:00,SO,charging,21.15789473687,XY,MW
2035-06-21 21:00:00,CE,charging,18.86315789475,XY,MW
2035-06-22 22:00:00,NR,charging,22.40000000002,XY,MW
2035-06-23 23:00:00,SO,charging,17.684210526330002,XY,MW
2035-06-25 00:00:00,CE,charging,15.831578947370001,XY,MW
2035-06-26 01:00:00,NR,charging,18.80000000001,XY,MW
2035-06-27 02:00:00,SO,charging,14.842105263170001,XY,MW
2035-06-28 03:00:00,CE,charging,15.157894736860001,XY,MW
2035-06-29 04:00:00,NR,charging,18.000000000020002,XY,MW
2035-06-30 05:00:00,SO,charging,14.2105263158,XY,MW
2035-07-01 06:00:00,CE,charging,16.16842105265,XY,MW
2035-07-02 07:00:00,NR,charging,19.20000000001,XY,MW
2035-07-03 08:00:00,SO,charging,15.15789473686,XY,MW
2035-07-04 09:00:00,CE,charging,14.14736842107,XY,MW
2035-07-05 10:00:00,NR,charging,16.80000000001,XY,MW
2035-07-06 11:00:00,SO,charging,13.263157894750002,XY,MW
2035-07-07 12:00:00,CE,charging,16.16842105265,XY,MW
2035-07-08 13:00:00,NR,charging,19.20000000001,XY,MW
2035-07-09 14:00:00,SO,charging,15.15789473686,XY,MW
2035-07-10 15:00:00,CE,charging,14.14736842107,XY,MW
