snapshot,country,technology,value,unit
2035-06-02 02:00:00,XY,EIDT,5134.3,MW
2035-06-03 03:00:00,XY,EIDT,7653.9,MW
2035-06-04 04:00:00,XY,EIDT,4309.6,MW
2035-06-05 05:00:00,XY,EIDT,3985.2,MW
2035-06-06 06:00:00,XY,EIDT,4190.0,MW
2035-06-07 07:00:00,XY,EIDT,8102.1,MW
2035-06-08 08:00:00,XY,EIDT,8076.9,MW
2035-06-09 09:00:00,XY,EIDT,8089.5,MW
2035-06-10 10:00:00,XY,EIDT,6311.1,MW
2035-06-11 11:00:00,XY,EIDT,8102.1,MW
2035-06-12 12:00:00,XY,EIDT,8102.1,MW
2035-06-13 13:00:00,XY,EIDT,8102.1,MW
2035-06-14 14:00:00,XY,EIDT,8102.1,MW
2035-06-15 15:00:00,XY,EIDT,8076.9,MW
2035-06-16 16:00:00,XY,EIDT,8089.5,MW
2035-06-17 17:00:00,XY,EIDT,8102.1,MW
2035-06-18 18:00:00,XY,EIDT,8102.1,MW
2035-06-19 19:00:00,XY,EIDT,4171.7,MW
2035-06-20 20:00:00,XY,EIDT,4094.4,MW
2035-06-21 21:00:00,XY,EIDT,3707.9,MW
2035-06-22 22:00:00,XY,EIDT,2161.9,MW
2035-06-23 23:00:00,XY,EIDT,2316.5,MW
2035-06-25 00:00:00,XY,EIDT,3321.4,MW
2035-06-26 01:00:00,XY,EIDT,2625.7,MW
2035-06-27 02:00:00,XY,EIDT,2316.5,MW
2035-06-28 03:00:00,XY,EIDT,1620.8,MW
2035-06-29 04:00:00,XY,EIDT,3705.9,MW
2035-06-30 05:00:00,XY,EIDT,5434.0,MW
2035-07-01 06:00:00,XY,EIDT,5522.3,MW
2035-07-02 07:00:00,XY,EIDT,6752.4,MW
2035-07-03 08:00:00,XY,EIDT,7891.9,MW
2035-07-04 09:00:00,XY,EIDT,8102.1,MW
2035-07-05 10:00:00,XY,EIDT,8102.1,MW
2035-07-06 11:00:00,XY,EIDT,8076.9,MW
2035-07-07 12:00:00,XY,EIDT,8089.5,MW
2035-07-08 13:00:00,XY,EIDT,8102.1,MW
2035-07-09 14:00:00,XY,EIDT,8102.1,MW
2035-07-10 15:00:00,XY,EIDT,8102.1,MW
2035-07-11 16:00:00,XY,EIDT,8102.1,MW
2035-07-12 17:00:00,XY,EIDT,8102.1,MW
2035-07-13 18:00:00,XY,EIDT,8076.9,MW
2035-07-14 19:00:00,XY,EIDT,8089.5,MW
2035-07-15 20:00:00,XY,EIDT,3707.9,MW
2035-07-16 21:00:00,XY,EIDT,5187.2,MW
2035-07-17 22:00:00,XY,EIDT,4171.7,MW
2035-07-18 23:00:00,XY,EIDT,4094.4,MW
2035-07-20 00:00:00,XY,EIDT,3571.4,MW
2035-07-21 01:00:00,XY,EIDT,6072.1,MW
2035-07-22 02:00:00,XY,EIDT,7736.2,MW
2035-07-23 03:00:00,XY,EIDT,7813.5,MW
2035-07-24 04:00:00,XY,EIDT,7968.1,MW
2035-07-25 05:00:00,XY,EIDT,7366.1,MW
2035-07-26 06:00:00,XY,EIDT,7195.7,MW
2035-07-27 07:00:00,XY,EIDT,8045.4,MW
2035-07-28 08:00:00,XY,EIDT,6221.2,MW
2035-07-29 09:00:00,XY,EIDT,6238.6,MW
2035-07-30 10:00:00,XY,EIDT,8102.1,MW
2035-07-31 11:00:00,XY,EIDT,8102.1,MW
2035-08-01 12:00:00,XY,EIDT,8102.1,MW
2035-08-02 13:00:00,XY,EIDT,8102.1,MW
2035-08-03 14:00:00,XY,EIDT,8076.9,MW
2035-08-04 15:00:00,XY,EIDT,8089.5,MW
2035-08-05 16:00:00,XY,EIDT,8102.1,MW
2035-08-06 17:00:00,XY,EIDT,8102.1,MW
2035-08-07 18:00:00,XY,EIDT,8102.1,MW
2035-08-08 19:00:00,XY,EIDT,4677.9,MW
2035-08-09 20:00:00,XY,EIDT,3630.6,MW
2035-08-10 21:00:00,XY,EIDT,8076.9,MW
2035-08-11 22:00:00,XY,EIDT,5569.3,MW
2035-08-12 23:00:00,XY,EIDT,5095.6,MW
2035-08-14 00:00:00,XY,EIDT,3553.3,MW
2035-08-15 01:00:00,XY,EIDT,5522.5,MW
2035-08-16 02:00:00,XY,EIDT,8064.3,MW
2035-08-17 03:00:00,XY,EIDT,7571.6,MW
2035-08-18 04:00:00,XY,EIDT,7077.8,MW
2035-08-19 05:00:00,XY,EIDT,7324.7,MW
2035-08-20 06:00:00,XY,EIDT,5498.5,MW
2035-08-21 07:00:00,XY,EIDT,5894.5,MW
2035-08-22 08:00:00,XY,EIDT,5969.9,MW
2035-08-23 09:00:00,XY,EIDT,8102.1,MW
2035-08-24 10:00:00,XY,EIDT,8076.9,MW
2035-08-25 11:00:00,XY,EIDT,8089.5,MW
2035-08-26 12:00:00,XY,EIDT,8102.1,MW
2035-08-27 13:00:00,XY,EIDT,8102.1,MW
2035-08-28 14:00:00,XY,EIDT,8102.1,MW
2035-08-29 15:00:00,XY,EIDT,8102.1,MW
2035-08-30 16:00:00,XY,EIDT,8102.1,MW
2035-08-31 17:00:00,XY,EIDT,8076.9,MW
2035-09-01 18:00:00,XY,EIDT,8089.5,MW
2035-09-02 19:00:00,XY,EIDT,3707.9,MW
2035-09-03 20:00:00,XY,EIDT,4417.3,MW
2035-09-04 21:00:00,XY,EIDT,4171.7,MW
2035-09-05 22:00:00,XY,EIDT,4017.1,MW
2035-09-06 23:00:00,XY,EIDT,5498.9,MW
2035-09-08 00:00:00,XY,EIDT,6577.6,MW
2035-09-09 01:00:00,XY,EIDT,7088.7,MW
2035-09-10 02:00:00,XY,EIDT,8051.7,MW
2035-09-11 03:00:00,XY,EIDT,8045.4,MW
2035-09-12 04:00:00,XY,EIDT,8045.4,MW
2035-09-13 05:00:00,XY,EIDT,6553.7,MW
2035-09-14 06:00:00,XY,EIDT,7489.3,MW
2035-09-15 07:00:00,XY,EIDT,8051.7,MW
2035-09-16 08:00:00,XY,EIDT,8102.1,MW
2035-09-17 09:00:00,XY,EIDT,8102.1,MW
2035-09-18 10:00:00,XY,EIDT,8102.1,MW
2035-09-19 11:00:00,XY,EIDT,8102.1,MW
2035-09-20 12:00:00,XY,EIDT,8102.1,MW
2035-09-21 13:00:00,XY,EIDT,8076.9,MW
2035-09-22 14:00:00,XY,EIDT,8089.5,MW
2035-09-23 15:00:00,XY,EIDT,4154.0,MW
2035-09-24 16:00:00,XY,EIDT,6263.9,MW
2035-09-25 17:00:00,XY,EIDT,5882.7,MW
2035-09-26 18:00:00,XY,EIDT,4094.4,MW
2035-09-27 19:00:00,XY,EIDT,3630.6,MW
2035-09-28 20:00:00,XY,EIDT,2161.9,MW
2035-09-29 21:00:00,XY,EIDT,2791.6,MW
2035-09-30 22:00:00,XY,EIDT,3707.9,MW
2035-10-01 23:00:00,XY,EIDT,3862.5,MW
2035-10-03 00:00:00,XY,EIDT,6719.0,MW
2035-10-04 01:00:00,XY,EIDT,8102.1,MW
2035-10-05 02:00:00,XY,EIDT,7968.1,MW
2035-10-06 03:00:00,XY,EIDT,7242.4,MW
2035-10-07 04:00:00,XY,EIDT,7242.4,MW
2035-10-08 05:00:00,XY,EIDT,7813.5,MW
2035-10-09 06:00:00,XY,EIDT,8083.2,MW
2035-10-10 07:00:00,XY,EIDT,7467.5,MW
2035-10-11 08:00:00,XY,EIDT,8102.1,MW
2035-10-12 09:00:00,XY,EIDT,8083.2,MW
2035-10-13 10:00:00,XY,EIDT,8095.8,MW
2035-10-14 11:00:00,XY,EIDT,8102.1,MW
2035-10-15 12:00:00,XY,EIDT,8102.1,MW
2035-10-16 13:00:00,XY,EIDT,8102.1,MW
2035-10-17 14:00:00,XY,EIDT,8102.1,MW
2035-10-18 15:00:00,XY,EIDT,8102.1,MW
2035-10-19 16:00:00,XY,EIDT,8083.2,MW
2035-10-20 17:00:00,XY,EIDT,8095.8,MW
2035-10-21 18:00:00,XY,EIDT,3785.2,MW
2035-10-22 19:00:00,XY,EIDT,3939.8,MW
2035-10-23 20:00:00,XY,EIDT,4249.0,MW
2035-10-24 21:00:00,XY,EIDT,4725.5,MW
2035-10-25 22:00:00,XY,EIDT,6322.6,MW
2035-10-26 23:00:00,XY,EIDT,8083.2,MW
2035-10-28 00:00:00,XY,EIDT,8095.8,MW
2035-10-29 01:00:00,XY,EIDT,8095.8,MW
2035-10-30 02:00:00,XY,EIDT,8076.9,MW
2035-10-31 03:00:00,XY,EIDT,8064.3,MW
2035-11-01 04:00:00,XY,EIDT,7736.2,MW
2035-11-02 05:00:00,XY,EIDT,7160.1,MW
2035-11-03 06:00:00,XY,EIDT,7653.9,MW
2035-11-04 07:00:00,XY,EIDT,8095.8,MW
2035-11-05 08:00:00,XY,EIDT,8102.1,MW
2035-11-06 09:00:00,XY,EIDT,8102.1,MW
2035-11-07 10:00:00,XY,EIDT,8102.1,MW
2035-11-08 11:00:00,XY,EIDT,8102.1,MW
2035-11-09 12:00:00,XY,EIDT,8083.2,MW
2035-11-10 13:00:00,XY,EIDT,8095.8,MW
2035-11-11 14:00:00,XY,EIDT,8102.1,MW
2035-11-12 15:00:00,XY,EIDT,8102.1,MW
2035-11-13 16:00:00,XY,EIDT,8102.1,MW
2035-11-14 17:00:00,XY,EIDT,8102.1,MW
2035-11-15 18:00:00,XY,EIDT,5794.0,MW
2035-11-16 19:00:00,XY,EIDT,6544.1,MW
2035-11-17 20:00:00,XY,EIDT,8095.8,MW
2035-11-18 21:00:00,XY,EIDT,3785.2,MW
2035-11-19 22:00:00,XY,EIDT,8102.1,MW
2035-11-20 23:00:00,XY,EIDT,8102.1,MW
2035-11-22 00:00:00,XY,EIDT,8102.1,MW
2035-11-23 01:00:00,XY,EIDT,8083.2,MW
2035-11-24 02:00:00,XY,EIDT,7736.2,MW
