snapshot,status,value,country,unit
2035-04-08 22:00:00,charging,44.21052631583,XY,MW
2035-04-09 23:00:00,charging,71.57894736847,XY,MW
2035-04-11 00:00:00,charging,78.94736842110001,XY,MW
2035-04-12 01:00:00,charging,83.15789473691,XY,MW
2035-04-13 02:00:00,charging,87.36842105266999,XY,MW
2035-04-14 03:00:00,charging,87.36842105266999,XY,MW
2035-04-15 04:00:00,charging,90.52631578955001,XY,MW
2035-04-16 05:00:00,charging,83.15789473691,XY,MW
2035-04-17 06:00:00,charging,73.68421052638,XY,MW
2035-04-18 07:00:00,charging,55.789473684259995,XY,MW
2035-04-19 08:00:00,charging,46.31578947372001,XY,MW
2035-04-20 09:00:00,charging,47.368421052680006,XY,MW
2035-04-21 10:00:00,charging,51.578947368440005,XY,MW
2035-04-22 11:00:00,charging,54.736842105310004,XY,MW
2035-04-23 12:00:00,charging,40.00000000003,XY,MW
2035-04-24 13:00:00,charging,44.21052631583,XY,MW
2035-04-25 14:00:00,charging,37.89473684214,XY,MW
2035-04-26 15:00:00,charging,28.421052631610003,XY,MW
2035-04-27 16:00:00,charging,3.1578947368440002,XY,MW
2035-04-28 17:00:00,charging,22.10526315789,XY,MW
2035-04-29 18:00:00,charging,23.157894736850004,XY,MW
2035-04-30 19:00:00,charging,33.68421052635,XY,MW
2035-05-01 20:00:00,charging,37.89473684214,XY,MW
2035-05-02 21:00:00,charging,51.578947368440005,XY,MW
2035-05-03 22:00:00,charging,56.84210526322,XY,MW
2035-05-04 23:00:00,charging,56.84210526322,XY,MW
2035-05-06 00:00:00,charging,69.47368421058,XY,MW
2035-05-07 01:00:00,charging,77.89473684217,XY,MW
2035-05-08 02:00:00,charging,90.52631578955001,XY,MW
2035-05-09 03:00:00,charging,92.63157894745001,XY,MW
2035-05-10 04:00:00,charging,86.31578947375,XY,MW
2035-05-11 05:00:00,charging,92.63157894745001,XY,MW
2035-05-12 06:00:00,charging,90.52631578955001,XY,MW
2035-05-13 07:00:00,charging,89.47368421058,XY,MW
2035-05-14 08:00:00,charging,40.00000000003,XY,MW
2035-05-15 09:00:00,charging,43.15789473685,XY,MW
2035-05-16 10:00:00,charging,45.26315789475,XY,MW
2035-05-17 11:00:00,charging,44.21052631583,XY,MW
2035-05-18 12:00:00,charging,30.526315789479998,XY,MW
2035-05-19 13:00:00,charging,22.10526315789,XY,MW
2035-05-20 14:00:00,charging,32.63157894738,XY,MW
2035-05-21 15:00:00,charging,23.157894736850004,XY,MW
2035-05-22 16:00:00,charging,24.210526315830002,XY,MW
2035-05-23 17:00:00,charging,23.157894736850004,XY,MW
2035-05-24 18:00:00,charging,18.947368421076,XY,MW
2035-05-25 19:00:00,charging,17.894736842141,XY,MW
2035-05-26 20:00:00,charging,44.21052631583,XY,MW
2035-05-27 21:00:00,charging,41.052631579,XY,MW
2035-05-28 22:00:00,charging,64.21052631582,XY,MW
2035-05-29 23:00:00,charging,70.52631578955999,XY,MW
2035-05-31 00:00:00,charging,65.26315789478,XY,MW
2035-06-01 01:00:00,charging,83.15789473691,XY,MW
2035-06-02 02:00:00,charging,82.10526315795,XY,MW
2035-06-03 03:00:00,charging,85.26315789481,XY,MW
2035-06-04 04:00:00,charging,86.31578947375,XY,MW
2035-06-05 05:00:00,charging,88.42105263165001,XY,MW
2035-06-06 06:00:00,charging,73.68421052638,XY,MW
2035-06-07 07:00:00,charging,46.31578947372001,XY,MW
2035-06-08 08:00:00,charging,56.84210526322,XY,MW
2035-06-09 09:00:00,charging,51.578947368440005,XY,MW
2035-06-10 10:00:00,charging,61.052631578989995,XY,MW
2035-06-11 11:00:00,charging,63.15789473688,XY,MW
2035-06-12 12:00:00,charging,41.052631579,XY,MW
2035-06-13 13:00:00,charging,46.31578947372001,XY,MW
2035-06-14 14:00:00,charging,42.10526315792,XY,MW
