snapshot,country,status,value,unit
2040-02-22 02:00:00,XY,powerFlow,0.0,MW
2040-02-23 03:00:00,XY,powerFlow,0.0,MW
2040-02-24 04:00:00,XY,powerFlow,0.0,MW
2040-02-25 05:00:00,XY,powerFlow,0.0,MW
2040-02-26 06:00:00,XY,powerFlow,0.0,MW
2040-02-27 07:00:00,XY,powerFlow,0.0,MW
2040-02-28 08:00:00,XY,powerFlow,0.0,MW
2040-02-29 09:00:00,XY,powerFlow,0.0,MW
2040-03-01 10:00:00,XY,powerFlow,0.0,MW
2040-03-02 11:00:00,XY,powerFlow,0.0,MW
2040-03-03 12:00:00,XY,powerFlow,0.0,MW
2040-03-04 13:00:00,XY,powerFlow,0.0,MW
2040-03-05 14:00:00,XY,powerFlow,0.0,MW
2040-03-06 15:00:00,XY,powerFlow,0.0,MW
2040-03-07 16:00:00,XY,powerFlow,0.0,MW
2040-03-08 17:00:00,XY,powerFlow,0.0,MW
2040-03-09 18:00:00,XY,powerFlow,0.0,MW
2040-03-10 19:00:00,XY,powerFlow,0.0,MW
2040-03-11 20:00:00,XY,powerFlow,0.0,MW
2040-03-12 21:00:00,XY,powerFlow,0.0,MW
2040-03-13 22:00:00,XY,powerFlow,0.0,MW
2040-03-14 23:00:00,XY,powerFlow,0.0,MW
2040-03-16 00:00:00,XY,powerFlow,0.0,MW
2040-03-17 01:00:00,XY,powerFlow,0.0,MW
2040-03-18 02:00:00,XY,powerFlow,0.0,MW
2040-03-19 03:00:00,XY,powerFlow,0.0,MW
2040-03-20 04:00:00,XY,powerFlow,0.0,MW
2040-03-21 05:00:00,XY,powerFlow,0.0,MW
2040-03-22 06:00:00,XY,powerFlow,0.0,MW
2040-03-23 07:00:00,XY,powerFlow,0.0,MW
2040-03-24 08:00:00,XY,powerFlow,0.0,MW
2040-03-25 09:00:00,XY,powerFlow,0.0,MW
2040-03-26 10:00:00,XY,powerFlow,0.0,MW
2040-03-27 11:00:00,XY,powerFlow,0.0,MW
2040-03-28 12:00:00,XY,powerFlow,0.0,MW
2040-03-29 13:00:00,XY,powerFlow,0.0,MW
2040-03-30 14:00:00,XY,powerFlow,0.0,MW
2040-03-31 15:00:00,XY,powerFlow,0.0,MW
2040-04-01 16:00:00,XY,powerFlow,0.0,MW
2040-04-02 17:00:00,XY,powerFlow,0.0,MW
2040-04-03 18:00:00,XY,powerFlow,0.0,MW
2040-04-04 19:00:00,XY,powerFlow,0.0,MW
2040-04-05 20:00:00,XY,powerFlow,0.0,MW
2040-04-06 21:00:00,XY,powerFlow,0.0,MW
2040-04-07 22:00:00,XY,powerFlow,0.0,MW
2040-04-08 23:00:00,XY,powerFlow,0.0,MW
2040-04-10 00:00:00,XY,powerFlow,0.0,MW
2040-04-11 01:00:00,XY,powerFlow,0.0,MW
2040-04-12 02:00:00,XY,powerFlow,0.0,MW
2040-04-13 03:00:00,XY,powerFlow,0.0,MW
2040-04-14 04:00:00,XY,powerFlow,0.0,MW
2040-04-15 05:00:00,XY,powerFlow,0.0,MW
2040-04-16 06:00:00,XY,powerFlow,0.0,MW
2040-04-17 07:00:00,XY,powerFlow,0.0,MW
2040-04-18 08:00:00,XY,powerFlow,0.0,MW
2040-04-19 09:00:00,XY,powerFlow,0.0,MW
2040-04-20 10:00:00,XY,powerFlow,0.0,MW
2040-04-21 11:00:00,XY,powerFlow,0.0,MW
2040-04-22 12:00:00,XY,powerFlow,0.0,MW
2040-04-23 13:00:00,XY,powerFlow,0.0,MW
2040-04-24 14:00:00,XY,powerFlow,0.0,MW
2040-04-25 15:00:00,XY,powerFlow,0.0,MW
2040-04-26 16:00:00,XY,powerFlow,0.0,MW
2040-04-27 17:00:00,XY,powerFlow,0.0,MW
2040-04-28 18:00:00,XY,powerFlow,0.0,MW
2040-04-29 19:00:00,XY,powerFlow,0.0,MW
2040-04-30 20:00:00,XY,powerFlow,0.0,MW
2040-05-01 21:00:00,XY,powerFlow,0.0,MW
2040-05-02 22:00:00,XY,powerFlow,0.0,MW
2040-05-03 23:00:00,XY,powerFlow,0.0,MW
2040-05-05 00:00:00,XY,powerFlow,0.0,MW
2040-05-06 01:00:00,XY,powerFlow,0.0,MW
2040-05-07 02:00:00,XY,powerFlow,0.0,MW
2040-05-08 03:00:00,XY,powerFlow,0.0,MW
2040-05-09 04:00:00,XY,powerFlow,0.0,MW
2040-05-10 05:00:00,XY,powerFlow,0.0,MW
2040-05-11 06:00:00,XY,powerFlow,0.0,MW
2040-05-12 07:00:00,XY,powerFlow,0.0,MW
2040-05-13 08:00:00,XY,powerFlow,0.0,MW
2040-05-14 09:00:00,XY,powerFlow,0.0,MW
2040-05-15 10:00:00,XY,powerFlow,0.0,MW
2040-05-16 11:00:00,XY,powerFlow,0.0,MW
2040-05-17 12:00:00,XY,powerFlow,0.0,MW
2040-05-18 13:00:00,XY,powerFlow,0.0,MW
2040-05-19 14:00:00,XY,powerFlow,0.0,MW
2040-05-20 15:00:00,XY,powerFlow,0.0,MW
2040-05-21 16:00:00,XY,powerFlow,0.0,MW
2040-05-22 17:00:00,XY,powerFlow,0.0,MW
2040-05-23 18:00:00,XY,powerFlow,0.0,MW
2040-05-24 19:00:00,XY,powerFlow,0.0,MW
2040-05-25 20:00:00,XY,powerFlow,0.0,MW
2040-05-26 21:00:00,XY,powerFlow,0.0,MW
2040-05-27 22:00:00,XY,powerFlow,0.0,MW
2040-05-28 23:00:00,XY,powerFlow,0.0,MW
2040-05-30 00:00:00,XY,powerFlow,0.0,MW
2040-05-31 01:00:00,XY,powerFlow,0.0,MW
2040-06-01 02:00:00,XY,powerFlow,0.0,MW
2040-06-02 03:00:00,XY,powerFlow,0.0,MW
2040-06-03 04:00:00,XY,powerFlow,0.0,MW
2040-06-04 05:00:00,XY,powerFlow,0.0,MW
2040-06-05 06:00:00,XY,powerFlow,0.0,MW
2040-06-06 07:00:00,XY,powerFlow,0.0,MW
2040-06-07 08:00:00,XY,powerFlow,0.0,MW
2040-06-08 09:00:00,XY,powerFlow,0.0,MW
2040-06-09 10:00:00,XY,powerFlow,0.0,MW
2040-06-10 11:00:00,XY,powerFlow,0.0,MW
2040-06-11 12:00:00,XY,powerFlow,0.0,MW
2040-06-12 13:00:00,XY,powerFlow,0.0,MW
2040-06-13 14:00:00,XY,powerFlow,0.0,MW
2040-06-14 15:00:00,XY,powerFlow,0.0,MW
2040-06-15 16:00:00,XY,powerFlow,0.0,MW
2040-06-16 17:00:00,XY,powerFlow,0.0,MW
2040-06-17 18:00:00,XY,powerFlow,0.0,MW
2040-06-18 19:00:00,XY,powerFlow,0.0,MW
2040-06-19 20:00:00,XY,powerFlow,0.0,MW
2040-06-20 21:00:00,XY,powerFlow,0.0,MW
2040-06-21 22:00:00,XY,powerFlow,0.0,MW
2040-06-22 23:00:00,XY,powerFlow,0.0,MW
2040-06-24 00:00:00,XY,powerFlow,0.0,MW
2040-06-25 01:00:00,XY,powerFlow,0.0,MW
2040-06-26 02:00:00,XY,powerFlow,0.0,MW
2040-06-27 03:00:00,XY,powerFlow,0.0,MW
2040-06-28 04:00:00,XY,powerFlow,0.0,MW
2040-06-29 05:00:00,XY,powerFlow,0.0,MW
2040-06-30 06:00:00,XY,powerFlow,0.0,MW
2040-07-01 07:00:00,XY,powerFlow,0.0,MW
2040-07-02 08:00:00,XY,powerFlow,0.0,MW
2040-07-03 09:00:00,XY,powerFlow,0.0,MW
2040-07-04 10:00:00,XY,powerFlow,0.0,MW
2040-07-05 11:00:00,XY,powerFlow,0.0,MW
2040-07-06 12:00:00,XY,powerFlow,0.0,MW
