country,carrier,region,heat_type,year,value,unit
XY,Bio,SO,IND-HH,2040,1.49,TWh
XY,Bio,SO,IND-LH,2040,18.48,TWh
XY,Electricity,CE,IND-HH,2040,55.22,TWh
XY,Electricity,CE,IND-LH,2040,2.59,TWh
XY,Electricity,NR,IND-HH,2040,5.68,TWh
XY,Electricity,NR,IND-LH,2040,3.48,TWh
XY,Electricity,SO,IND-HH,2040,3.36,TWh
XY,Electricity,SO,IND-LH,2040,0.22,TWh
XY,Gas,CE,IND-LH,2040,15.14,TWh
XY,Gas,NR,IND-LH,2040,7.7,TWh
XY,Hrdc,CE,IND-HH,2040,5.83,TWh
XY,Hrdc,NR,IND-HH,2040,0.75,TWh
XY,Hrdc,SO,IND-HH,2040,0.28,TWh
XY,Hrdc,SO,IND-LH,2040,9.22,TWh
XY,Hyd,CE,IND-LH,2040,6.1,TWh
XY,Hyd,NR,IND-LH,2040,0.24,TWh
XY,Solar,CE,IND-LH,2040,4.92,TWh
XY,Solar,NR,IND-LH,2040,1.13,TWh
YZ,Bio,CE,IND-HH,2040,15.94,TWh
YZ,Bio,CE,IND-LH,2040,32.55,TWh
YZ,Bio,SO,IND-HH,2040,3.0,TWh
YZ,Bio,SO,IND-LH,2040,18.48,TWh
YZ,Electricity,CE,IND-HH,2040,49.15,TWh
YZ,Electricity,CE,IND-LH,2040,13.87,TWh
YZ,Electricity,NR,IND-HH,2040,5.65,TWh
YZ,Electricity,NR,IND-LH,2040,5.02,TWh
YZ,Electricity,SO,IND-HH,2040,1.47,TWh
YZ,Electricity,SO,IND-LH,2040,0.29,TWh
YZ,Gas,CE,IND-LH,2040,2.36,TWh
YZ,Gas,NR,IND-LH,2040,3.81,TWh
YZ,Hrdc,CE,IND-HH,2040,7.22,TWh
YZ,Hrdc,NR,IND-HH,2040,0.78,TWh
YZ,Hrdc,SO,IND-HH,2040,0.65,TWh
YZ,Hrdc,SO,IND-LH,2040,9.15,TWh
YZ,Oil,CE,IND-LH,2040,12.48,TWh
YZ,Oil,NR,IND-LH,2040,3.72,TWh
XY,Bio,CE,IND-HH,2045,12.8,TWh
XY,Bio,CE,IND-LH,2045,32.45,TWh
XY,Bio,SO,IND-HH,2045,1.3,TWh
XY,Bio,SO,IND-LH,2045,18.48,TWh
XY,Electricity,CE,IND-HH,2045,60.38,TWh
XY,Electricity,CE,IND-LH,2045,2.03,TWh
XY,Electricity,NR,IND-HH,2045,6.47,TWh
XY,Electricity,NR,IND-LH,2045,2.55,TWh
XY,Electricity,SO,IND-HH,2045,3.92,TWh
XY,Electricity,SO,IND-LH,2045,0.61,TWh
XY,Gas,CE,IND-LH,2045,7.31,TWh
XY,Gas,NR,IND-LH,2045,4.48,TWh
XY,Gas,SO,IND-LH,2045,0.05,TWh
XY,Hrdc,CE,IND-HH,2045,0.13,TWh
XY,Hrdc,NR,IND-HH,2045,0.06,TWh
XY,Hrdc,SO,IND-LH,2045,7.98,TWh
XY,Hyd,CE,IND-LH,2045,14.55,TWh
XY,Hyd,NR,IND-LH,2045,4.49,TWh
XY,Solar,CE,IND-LH,2045,4.92,TWh
XY,Solar,NR,IND-LH,2045,1.13,TWh
YZ,Bio,CE,IND-HH,2045,10.55,TWh
YZ,Bio,CE,IND-LH,2045,31.89,TWh
YZ,Bio,SO,IND-HH,2045,2.72,TWh
YZ,Bio,SO,IND-LH,2045,18.48,TWh
YZ,Electricity,CE,IND-HH,2045,60.53,TWh
YZ,Electricity,CE,IND-LH,2045,22.27,TWh
YZ,Electricity,NR,IND-HH,2045,6.16,TWh
YZ,Electricity,NR,IND-LH,2045,8.68,TWh
YZ,Electricity,SO,IND-HH,2045,2.11,TWh
YZ,Electricity,SO,IND-LH,2045,0.9,TWh
YZ,Gas,CE,IND-LH,2045,2.72,TWh
YZ,Gas,NR,IND-LH,2045,2.71,TWh
YZ,Gas,SO,IND-LH,2045,0.01,TWh
YZ,Hrdc,CE,IND-HH,2045,2.24,TWh
YZ,Hrdc,NR,IND-HH,2045,0.37,TWh
YZ,Hrdc,SO,IND-HH,2045,0.39,TWh
YZ,Hrdc,SO,IND-LH,2045,7.68,TWh
YZ,Oil,CE,IND-LH,2045,4.39,TWh
YZ,Oil,NR,IND-LH,2045,1.27,TWh
YZ,Oil,SO,IND-LH,2045,0.04,TWh
XY,Bio,CE,IND-HH,2050,9.47,TWh
XY,Bio,CE,IND-LH,2050,32.04,TWh
XY,Bio,SO,IND-HH,2050,0.88,TWh
XY,Bio,SO,IND-LH,2050,18.45,TWh
XY,Electricity,CE,IND-HH,2050,64.83,TWh
XY,Electricity,CE,IND-LH,2050,2.77,TWh
XY,Electricity,NR,IND-HH,2050,6.62,TWh
XY,Electricity,NR,IND-LH,2050,3.34,TWh
XY,Electricity,SO,IND-HH,2050,4.45,TWh
XY,Electricity,SO,IND-LH,2050,3.79,TWh
XY,Gas,CE,IND-LH,2050,1.99,TWh
XY,Gas,NR,IND-LH,2050,0.48,TWh
XY,Hrdc,CE,IND-HH,2050,0.01,TWh
XY,Hrdc,NR,IND-HH,2050,0.01,TWh
XY,Hrdc,SO,IND-LH,2050,2.87,TWh
XY,Hyd,CE,IND-LH,2050,16.53,TWh
XY,Hyd,NR,IND-LH,2050,7.51,TWh
XY,Solar,CE,IND-LH,2050,4.92,TWh
XY,Solar,NR,IND-LH,2050,1.13,TWh
YZ,Bio,CE,IND-HH,2050,11.23,TWh
YZ,Bio,CE,IND-LH,2050,31.39,TWh
YZ,Bio,SO,IND-HH,2050,2.75,TWh
YZ,Bio,SO,IND-LH,2050,18.48,TWh
YZ,Electricity,CE,IND-HH,2050,59.85,TWh
YZ,Electricity,CE,IND-LH,2050,16.08,TWh
YZ,Electricity,NR,IND-HH,2050,6.19,TWh
YZ,Electricity,NR,IND-LH,2050,6.65,TWh
YZ,Electricity,SO,IND-HH,2050,2.04,TWh
YZ,Electricity,SO,IND-LH,2050,0.88,TWh
YZ,Gas,CE,IND-LH,2050,0.75,TWh
YZ,Gas,NR,IND-LH,2050,3.08,TWh
YZ,Hrdc,CE,IND-HH,2050,3.24,TWh
YZ,Hrdc,NR,IND-HH,2050,0.44,TWh
YZ,Hrdc,SO,IND-HH,2050,0.53,TWh
YZ,Hrdc,SO,IND-LH,2050,6.55,TWh
YZ,Oil,CE,IND-LH,2050,10.03,TWh
YZ,Oil,NR,IND-LH,2050,2.72,TWh
YZ,Oil,SO,IND-LH,2050,0.01,TWh
