country,technology,carrier,heat_type,year,value,unit
YZ,EDLH,Electricity,IND-LH,2035,0.79,GW
YZ,EERH,Electricity,IND-HH,2035,0.74,GW
YZ,EHPP,Electricity,IND-LH,2035,3.17,GW
YZ,EIDT,Electricity,IND-HH,2035,5.74,GW
YZ,IND_BOILER,Bio,IND-HH,2035,2.35,GW
YZ,IND_BOILER,Bio,IND-LH,2035,5.8,GW
YZ,IND_BOILER,Gas,IND-HH,2035,3.74,GW
YZ,IND_BOILER,Gas,IND-LH,2035,5.5,GW
YZ,IND_BOILER,Hrdc,IND-HH,2035,4.33,GW
YZ,IND_BOILER,Hrdc,IND-LH,2035,1.6,GW
YZ,IND_BOILER,Oil,IND-HH,2035,2.76,GW
YZ,IND_BOILER,Oil,IND-LH,2035,3.54,GW
XY,EDLH,Electricity,IND-LH,2040,0.79,GW
XY,EHPP,Electricity,IND-LH,2040,1.31,GW
XY,EIDT,Electricity,IND-HH,2040,8.36,GW
XY,IND_BOILER,Bio,IND-HH,2040,2.35,GW
XY,IND_BOILER,Bio,IND-LH,2040,5.8,GW
XY,IND_BOILER,Gas,IND-HH,2040,3.74,GW
XY,IND_BOILER,Gas,IND-LH,2040,6.16,GW
XY,IND_BOILER,Hrdc,IND-HH,2040,4.13,GW
XY,IND_BOILER,Hrdc,IND-LH,2040,1.59,GW
XY,IND_BOILER,Hyd,IND-LH,2040,1.25,GW
XY,IND_BOILER,Oil,IND-HH,2040,0.05,GW
YZ,EDLH,Electricity,IND-LH,2040,0.79,GW
YZ,EERH,Electricity,IND-HH,2040,0.74,GW
YZ,EHPP,Electricity,IND-LH,2040,3.17,GW
YZ,EIDT,Electricity,IND-HH,2040,6.56,GW
YZ,IND_BOILER,Bio,IND-HH,2040,2.35,GW
YZ,IND_BOILER,Bio,IND-LH,2040,5.8,GW
YZ,IND_BOILER,Gas,IND-HH,2040,3.74,GW
YZ,IND_BOILER,Gas,IND-LH,2040,5.5,GW
YZ,IND_BOILER,Hrdc,IND-HH,2040,4.33,GW
YZ,IND_BOILER,Hrdc,IND-LH,2040,1.6,GW
YZ,IND_BOILER,Oil,IND-HH,2040,2.76,GW
YZ,IND_BOILER,Oil,IND-LH,2040,3.54,GW
XY,SWHT,Solar,IND-LH,2040,3.57,GW
XY,EDLH,Electricity,IND-LH,2045,0.79,GW
XY,EHPP,Electricity,IND-LH,2045,1.31,GW
XY,EIDT,Electricity,IND-HH,2045,8.79,GW
XY,IND_BOILER,Bio,IND-HH,2045,2.35,GW
XY,IND_BOILER,Bio,IND-LH,2045,5.8,GW
XY,IND_BOILER,Gas,IND-HH,2045,3.74,GW
XY,IND_BOILER,Gas,IND-LH,2045,6.16,GW
XY,IND_BOILER,Hrdc,IND-HH,2045,3.3,GW
XY,IND_BOILER,Hrdc,IND-LH,2045,1.28,GW
XY,IND_BOILER,Hyd,IND-LH,2045,2.75,GW
XY,IND_BOILER,Oil,IND-HH,2045,0.05,GW
YZ,EDLH,Electricity,IND-LH,2045,0.79,GW
YZ,EERH,Electricity,IND-HH,2045,0.74,GW
YZ,EHPP,Electricity,IND-LH,2045,4.88,GW
YZ,EIDT,Electricity,IND-HH,2045,8.01,GW
YZ,IND_BOILER,Bio,IND-HH,2045,2.35,GW
YZ,IND_BOILER,Bio,IND-LH,2045,5.8,GW
YZ,IND_BOILER,Gas,IND-HH,2045,3.74,GW
YZ,IND_BOILER,Gas,IND-LH,2045,5.5,GW
YZ,IND_BOILER,Hrdc,IND-HH,2045,4.11,GW
YZ,IND_BOILER,Hrdc,IND-LH,2045,1.3,GW
YZ,IND_BOILER,Oil,IND-HH,2045,2.76,GW
YZ,IND_BOILER,Oil,IND-LH,2045,3.54,GW
XY,SWHT,Solar,IND-LH,2045,3.57,GW
XY,EDLH,Electricity,IND-LH,2050,0.79,GW
XY,EHPP,Electricity,IND-LH,2050,1.69,GW
XY,EIDT,Electricity,IND-HH,2050,9.26,GW
XY,IND_BOILER,Bio,IND-HH,2050,2.35,GW
XY,IND_BOILER,Bio,IND-LH,2050,5.8,GW
XY,IND_BOILER,Gas,IND-HH,2050,3.74,GW
XY,IND_BOILER,Gas,IND-LH,2050,6.16,GW
XY,IND_BOILER,Hrdc,IND-HH,2050,3.3,GW
XY,IND_BOILER,Hrdc,IND-LH,2050,1.28,GW
XY,IND_BOILER,Hyd,IND-LH,2050,3.68,GW
XY,IND_BOILER,Oil,IND-HH,2050,0.05,GW
YZ,EDLH,Electricity,IND-LH,2050,0.79,GW
YZ,EERH,Electricity,IND-HH,2050,0.74,GW
YZ,EHPP,Electricity,IND-LH,2050,4.88,GW
YZ,EIDT,Electricity,IND-HH,2050,8.11,GW
YZ,IND_BOILER,Bio,IND-HH,2050,2.35,GW
YZ,IND_BOILER,Bio,IND-LH,2050,5.8,GW
YZ,IND_BOILER,Gas,IND-HH,2050,3.74,GW
YZ,IND_BOILER,Gas,IND-LH,2050,5.5,GW
YZ,IND_BOILER,Hrdc,IND-HH,2050,4.11,GW
YZ,IND_BOILER,Hrdc,IND-LH,2050,1.3,GW
YZ,IND_BOILER,Oil,IND-HH,2050,2.76,GW
YZ,IND_BOILER,Oil,IND-LH,2050,3.54,GW
XY,SWHT,Solar,IND-LH,2050,3.57,GW
