snapshot,country,sector,value,unit
2050-04-09 23:00:00,XY,Inflexible_Power,9294.0,MW
2050-04-11 00:00:00,XY,Inflexible_Power,8660.8,MW
2050-04-12 01:00:00,XY,Inflexible_Power,8830.8,MW
2050-04-13 02:00:00,XY,Inflexible_Power,8614.8,MW
2050-04-14 03:00:00,XY,Inflexible_Power,8254.8,MW
2050-04-15 04:00:00,XY,Inflexible_Power,8220.4,MW
2050-04-16 05:00:00,XY,Inflexible_Power,8567.2,MW
2050-04-17 06:00:00,XY,Inflexible_Power,8691.6,MW
2050-04-18 07:00:00,XY,Inflexible_Power,8866.0,MW
2050-04-19 08:00:00,XY,Inflexible_Power,9352.0,MW
2050-04-20 09:00:00,XY,Inflexible_Power,9909.2,MW
2050-04-21 10:00:00,XY,Inflexible_Power,10120.8,MW
2050-04-22 11:00:00,XY,Inflexible_Power,10812.0,MW
2050-04-23 12:00:00,XY,Inflexible_Power,9840.4,MW
2050-04-24 13:00:00,XY,Inflexible_Power,10340.4,MW
2050-04-25 14:00:00,XY,Inflexible_Power,10794.0,MW
2050-04-26 15:00:00,XY,Inflexible_Power,10173.6,MW
2050-04-27 16:00:00,XY,Inflexible_Power,10186.0,MW
2050-04-28 17:00:00,XY,Inflexible_Power,10818.4,MW
2050-04-29 18:00:00,XY,Inflexible_Power,10451.2,MW
2050-04-30 19:00:00,XY,Inflexible_Power,10066.8,MW
2050-05-01 20:00:00,XY,Inflexible_Power,9993.2,MW
2050-05-02 21:00:00,XY,Inflexible_Power,10793.2,MW
2050-05-03 22:00:00,XY,Inflexible_Power,9757.2,MW
2050-05-04 23:00:00,XY,Inflexible_Power,9403.2,MW
2050-05-06 00:00:00,XY,Inflexible_Power,8919.6,MW
2050-05-07 01:00:00,XY,Inflexible_Power,8600.0,MW
2050-05-08 02:00:00,XY,Inflexible_Power,8398.8,MW
2050-05-09 03:00:00,XY,Inflexible_Power,8321.2,MW
2050-05-10 04:00:00,XY,Inflexible_Power,8430.0,MW
2050-05-11 05:00:00,XY,Inflexible_Power,8463.2,MW
2050-05-12 06:00:00,XY,Inflexible_Power,8706.4,MW
2050-05-13 07:00:00,XY,Inflexible_Power,9466.8,MW
2050-05-14 08:00:00,XY,Inflexible_Power,10418.0,MW
2050-05-15 09:00:00,XY,Inflexible_Power,11010.0,MW
2050-05-16 10:00:00,XY,Inflexible_Power,11261.6,MW
2050-05-17 11:00:00,XY,Inflexible_Power,10165.2,MW
2050-05-18 12:00:00,XY,Inflexible_Power,9762.8,MW
2050-05-19 13:00:00,XY,Inflexible_Power,10656.0,MW
2050-05-20 14:00:00,XY,Inflexible_Power,11242.8,MW
2050-05-21 15:00:00,XY,Inflexible_Power,11688.4,MW
2050-05-22 16:00:00,XY,Inflexible_Power,11493.6,MW
2050-05-23 17:00:00,XY,Inflexible_Power,10823.599999999999,MW
2050-05-24 18:00:00,XY,Inflexible_Power,9769.6,MW
2050-05-25 19:00:00,XY,Inflexible_Power,10066.8,MW
2050-05-26 20:00:00,XY,Inflexible_Power,10488.0,MW
2050-05-27 21:00:00,XY,Inflexible_Power,10379.2,MW
2050-05-28 22:00:00,XY,Inflexible_Power,10444.0,MW
2050-05-29 23:00:00,XY,Inflexible_Power,9567.6,MW
2050-05-31 00:00:00,XY,Inflexible_Power,9048.8,MW
2050-06-01 01:00:00,XY,Inflexible_Power,9420.0,MW
2050-06-02 02:00:00,XY,Inflexible_Power,9094.8,MW
2050-06-03 03:00:00,XY,Inflexible_Power,8881.2,MW
2050-06-04 04:00:00,XY,Inflexible_Power,8818.0,MW
2050-06-05 05:00:00,XY,Inflexible_Power,8880.4,MW
2050-06-06 06:00:00,XY,Inflexible_Power,9088.8,MW
2050-06-07 07:00:00,XY,Inflexible_Power,11757.2,MW
2050-06-08 08:00:00,XY,Inflexible_Power,8771.6,MW
2050-06-09 09:00:00,XY,Inflexible_Power,9492.4,MW
2050-06-10 10:00:00,XY,Inflexible_Power,11398.0,MW
2050-06-11 11:00:00,XY,Inflexible_Power,11638.800000000001,MW
2050-06-12 12:00:00,XY,Inflexible_Power,11377.2,MW
2050-06-13 13:00:00,XY,Inflexible_Power,11151.6,MW
2050-06-14 14:00:00,XY,Inflexible_Power,11555.6,MW
2050-06-15 15:00:00,XY,Inflexible_Power,10794.0,MW
2050-06-16 16:00:00,XY,Inflexible_Power,10544.8,MW
2050-06-17 17:00:00,XY,Inflexible_Power,11771.2,MW
2050-06-18 18:00:00,XY,Inflexible_Power,10838.4,MW
2050-06-19 19:00:00,XY,Inflexible_Power,10419.6,MW
2050-06-20 20:00:00,XY,Inflexible_Power,10794.4,MW
2050-06-21 21:00:00,XY,Inflexible_Power,10916.8,MW
2050-06-22 22:00:00,XY,Inflexible_Power,10456.8,MW
2050-06-23 23:00:00,XY,Inflexible_Power,10346.399999999998,MW
2050-06-25 00:00:00,XY,Inflexible_Power,10404.4,MW
2050-06-26 01:00:00,XY,Inflexible_Power,9543.6,MW
2050-06-27 02:00:00,XY,Inflexible_Power,9315.2,MW
2050-06-28 03:00:00,XY,Inflexible_Power,9002.8,MW
2050-06-29 04:00:00,XY,Inflexible_Power,9002.8,MW
2050-06-30 05:00:00,XY,Inflexible_Power,8895.6,MW
2050-07-01 06:00:00,XY,Inflexible_Power,8880.4,MW
2050-07-02 07:00:00,XY,Inflexible_Power,8890.0,MW
2050-07-03 08:00:00,XY,Inflexible_Power,9030.4,MW
2050-07-04 09:00:00,XY,Inflexible_Power,10276.8,MW
2050-07-05 10:00:00,XY,Inflexible_Power,10792.0,MW
2050-07-06 11:00:00,XY,Inflexible_Power,10120.8,MW
2050-07-07 12:00:00,XY,Inflexible_Power,10010.0,MW
