snapshot,type,status,value,country,unit
2030-01-01 00:00:00,TRAN-PRV,charging,18.73684210526316,XY,MW
2030-01-02 01:00:00,TRAN-PUB,charging,36.210526315787,XY,MW
2030-01-03 02:00:00,TRAN-PRV,charging,40.00000000002316,XY,MW
2030-01-04 03:00:00,TRAN-PUB,charging,34.526315789468995,XY,MW
2030-01-05 04:00:00,TRAN-PRV,charging,53.05263157902,XY,MW
2030-01-06 05:00:00,TRAN-PUB,charging,35.368421052628,XY,MW
2030-01-07 06:00:00,TRAN-PRV,charging,56.84210526324,XY,MW
2030-01-08 07:00:00,TRAN-PUB,charging,37.894736842105004,XY,MW
2030-01-09 08:00:00,TRAN-PRV,charging,56.84210526324,XY,MW
2030-01-10 09:00:00,TRAN-PUB,charging,37.894736842105004,XY,MW
2030-01-11 10:00:00,TRAN-PRV,charging,54.31578947376,XY,MW
2030-01-12 11:00:00,TRAN-PUB,charging,36.210526315787,XY,MW
2030-01-13 12:00:00,TRAN-PRV,charging,36.0,XY,MW
2030-01-14 13:00:00,TRAN-PUB,charging,37.052631578946,XY,MW
2030-01-15 14:00:00,TRAN-PRV,charging,32.210526315825,XY,MW
2030-01-16 15:00:00,TRAN-PUB,charging,21.4736842105345,XY,MW
2030-01-17 16:00:00,TRAN-PRV,charging,30.31578947373,XY,MW
2030-01-18 17:00:00,TRAN-PUB,charging,20.210526315785998,XY,MW
2030-01-19 18:00:00,TRAN-PRV,charging,29.684210526344998,XY,MW
2030-01-20 19:00:00,TRAN-PUB,charging,19.7894736842165,XY,MW
2030-01-21 20:00:00,TRAN-PRV,charging,30.31578947373,XY,MW
2030-01-22 21:00:00,TRAN-PUB,charging,20.210526315785998,XY,MW
2030-01-23 22:00:00,TRAN-PRV,charging,30.31578947373,XY,MW
2030-01-24 23:00:00,TRAN-PUB,charging,20.210526315785998,XY,MW
2030-01-26 00:00:00,TRAN-PRV,charging,27.157894736864996,XY,MW
2030-01-27 01:00:00,TRAN-PUB,charging,18.1052631578985,XY,MW
2030-01-28 02:00:00,TRAN-PRV,charging,29.684210526344998,XY,MW
2030-01-29 03:00:00,TRAN-PUB,charging,19.7894736842165,XY,MW
2030-01-30 04:00:00,TRAN-PRV,charging,25.894736842125,XY,MW
2030-01-31 05:00:00,TRAN-PUB,charging,17.2631578947395,XY,MW
2030-02-01 06:00:00,TRAN-PRV,charging,24.00000000003,XY,MW
2030-02-02 07:00:00,TRAN-PUB,charging,16.000000000001,XY,MW
2030-02-03 08:00:00,TRAN-PRV,charging,19.578947368455,XY,MW
2030-02-04 09:00:00,TRAN-PUB,charging,13.0526315789445,XY,MW
2030-02-05 10:00:00,TRAN-PRV,charging,16.42105263159,XY,MW
2030-02-06 11:00:00,TRAN-PUB,charging,10.947368421057,XY,MW
2030-02-07 12:00:00,TRAN-PRV,charging,7.57894736844,XY,MW
2030-02-08 13:00:00,TRAN-PUB,charging,5.052631578944,XY,MW
2030-02-09 14:00:00,TRAN-PRV,charging,26.52631578951,XY,MW
2030-02-10 15:00:00,TRAN-PUB,charging,17.684210526319,XY,MW
2030-02-11 16:00:00,TRAN-PRV,charging,25.26315789477,XY,MW
2030-02-12 17:00:00,TRAN-PUB,charging,16.84210526315,XY,MW
2030-02-13 18:00:00,TRAN-PRV,charging,35.36842105269,XY,MW
2030-02-14 19:00:00,TRAN-PUB,charging,23.578947368412,XY,MW
2030-02-15 20:00:00,TRAN-PRV,charging,39.157894736879996,XY,MW
2030-02-16 21:00:00,TRAN-PUB,charging,26.105263157899,XY,MW
2030-02-17 22:00:00,TRAN-PRV,charging,42.9473684211,XY,MW
2030-02-18 23:00:00,TRAN-PUB,charging,28.631578947376,XY,MW
2030-02-20 00:00:00,TRAN-PRV,charging,46.105263157965,XY,MW
2030-02-21 01:00:00,TRAN-PUB,charging,30.7368421052635,XY,MW
2030-02-22 02:00:00,TRAN-PRV,charging,46.105263157965,XY,MW
2030-02-23 03:00:00,TRAN-PUB,charging,30.7368421052635,XY,MW
2030-02-24 04:00:00,TRAN-PRV,charging,42.12631578949132,XY,MW
2030-02-25 05:00:00,TRAN-PUB,charging,34.1052631578995,XY,MW
2030-02-26 06:00:00,TRAN-PRV,charging,55.5789473685,XY,MW
2030-02-27 07:00:00,TRAN-PUB,charging,37.052631578946,XY,MW
2030-02-28 08:00:00,TRAN-PRV,charging,57.473684210594996,XY,MW
2030-03-01 09:00:00,TRAN-PUB,charging,38.3157894736845,XY,MW
2030-03-02 10:00:00,TRAN-PRV,charging,53.684210526375,XY,MW
2030-03-03 11:00:00,TRAN-PUB,charging,35.7894736842175,XY,MW
2030-03-04 12:00:00,TRAN-PRV,charging,45.47368421058,XY,MW
2030-03-05 13:00:00,TRAN-PUB,charging,30.315789473684,XY,MW
2030-03-06 14:00:00,TRAN-PRV,charging,37.263157894784996,XY,MW
2030-03-07 15:00:00,TRAN-PUB,charging,24.842105263150497,XY,MW
2030-03-08 16:00:00,TRAN-PRV,charging,46.73684210532,XY,MW
2030-03-09 17:00:00,TRAN-PUB,charging,31.157894736853,XY,MW
2030-03-10 18:00:00,TRAN-PRV,charging,48.75789473685974,XY,MW
2030-03-11 19:00:00,TRAN-PUB,charging,34.1052631578995,XY,MW
2030-03-12 20:00:00,TRAN-PRV,charging,26.52631578951,XY,MW
2030-03-13 21:00:00,TRAN-PUB,charging,17.684210526319,XY,MW
2030-03-14 22:00:00,TRAN-PRV,charging,29.684210526344998,XY,MW
2030-03-15 23:00:00,TRAN-PUB,charging,19.7894736842165,XY,MW
2030-03-17 00:00:00,TRAN-PRV,charging,29.052631578990002,XY,MW
2030-03-18 01:00:00,TRAN-PUB,charging,19.368421052627,XY,MW
2030-03-19 02:00:00,TRAN-PRV,charging,25.894736842125,XY,MW
2030-03-20 03:00:00,TRAN-PUB,charging,17.2631578947395,XY,MW
2030-03-21 04:00:00,TRAN-PRV,charging,12.000000000015,XY,MW
2030-03-22 05:00:00,TRAN-PUB,charging,8.0000000000005,XY,MW
2030-03-23 06:00:00,TRAN-PRV,charging,16.42105263159,XY,MW
2030-03-24 07:00:00,TRAN-PUB,charging,10.947368421057,XY,MW
2030-03-25 08:00:00,TRAN-PRV,charging,23.368421052675,XY,MW
2030-03-26 09:00:00,TRAN-PUB,charging,15.5789473684115,XY,MW
2030-03-27 10:00:00,TRAN-PRV,charging,20.21052631581,XY,MW
2030-03-28 11:00:00,TRAN-PUB,charging,13.473684210534,XY,MW
2030-03-29 12:00:00,TRAN-PRV,charging,17.052631578975,XY,MW
2030-03-30 13:00:00,TRAN-PUB,charging,11.3684210526265,XY,MW
2030-03-31 14:00:00,TRAN-PRV,charging,18.94736842107,XY,MW
2030-04-01 15:00:00,TRAN-PUB,charging,12.631578947374999,XY,MW
2030-04-02 16:00:00,TRAN-PRV,charging,25.26315789477,XY,MW
2030-04-03 17:00:00,TRAN-PUB,charging,16.84210526315,XY,MW
2030-04-04 18:00:00,TRAN-PRV,charging,24.00000000003,XY,MW
2030-04-05 19:00:00,TRAN-PUB,charging,16.000000000001,XY,MW
2030-04-06 20:00:00,TRAN-PRV,charging,36.000000000045,XY,MW
2030-04-07 21:00:00,TRAN-PUB,charging,24.0000000000015,XY,MW
2030-04-08 22:00:00,TRAN-PRV,charging,39.789473684265005,XY,MW
2030-04-09 23:00:00,TRAN-PUB,charging,26.526315789468498,XY,MW
2030-04-11 00:00:00,TRAN-PRV,charging,49.2631578948,XY,MW
2030-04-12 01:00:00,TRAN-PUB,charging,32.842105263151,XY,MW
2030-04-13 02:00:00,TRAN-PRV,charging,51.78947368428,XY,MW
2030-04-14 03:00:00,TRAN-PUB,charging,34.526315789468995,XY,MW
2030-04-15 04:00:00,TRAN-PRV,charging,54.31578947376,XY,MW
2030-04-16 05:00:00,TRAN-PUB,charging,36.210526315787,XY,MW
2030-04-17 06:00:00,TRAN-PRV,charging,55.5789473685,XY,MW
2030-04-18 07:00:00,TRAN-PUB,charging,37.052631578946,XY,MW
2030-04-19 08:00:00,TRAN-PRV,charging,53.05263157902,XY,MW
2030-04-20 09:00:00,TRAN-PUB,charging,35.368421052628,XY,MW
2030-04-21 10:00:00,TRAN-PRV,charging,36.0,XY,MW
2030-04-22 11:00:00,TRAN-PUB,charging,37.473684210535495,XY,MW
2030-04-23 12:00:00,TRAN-PRV,charging,42.315789473745,XY,MW
2030-04-24 13:00:00,TRAN-PUB,charging,28.2105263157865,XY,MW
2030-04-25 14:00:00,TRAN-PRV,charging,35.36842105269,XY,MW
2030-04-26 15:00:00,TRAN-PUB,charging,23.578947368412,XY,MW
2030-04-27 16:00:00,TRAN-PRV,charging,29.684210526344998,XY,MW
2030-04-28 17:00:00,TRAN-PUB,charging,19.7894736842165,XY,MW
2030-04-29 18:00:00,TRAN-PRV,charging,28.421052631605,XY,MW
2030-04-30 19:00:00,TRAN-PUB,charging,18.9473684210575,XY,MW
2030-05-01 20:00:00,TRAN-PRV,charging,30.31578947373,XY,MW
2030-05-02 21:00:00,TRAN-PUB,charging,20.210526315785998,XY,MW
2030-05-03 22:00:00,TRAN-PRV,charging,26.52631578951,XY,MW
2030-05-04 23:00:00,TRAN-PUB,charging,17.684210526319,XY,MW
2030-05-06 00:00:00,TRAN-PRV,charging,30.31578947373,XY,MW
2030-05-07 01:00:00,TRAN-PUB,charging,20.210526315785998,XY,MW
2030-05-08 02:00:00,TRAN-PRV,charging,26.52631578951,XY,MW
2030-05-09 03:00:00,TRAN-PUB,charging,17.684210526319,XY,MW
2030-05-10 04:00:00,TRAN-PRV,charging,26.52631578951,XY,MW
2030-05-11 05:00:00,TRAN-PUB,charging,17.684210526319,XY,MW
2030-05-12 06:00:00,TRAN-PRV,charging,21.47368421055,XY,MW
2030-05-13 07:00:00,TRAN-PUB,charging,14.315789473683001,XY,MW
2030-05-14 08:00:00,TRAN-PRV,charging,15.15789473685,XY,MW
2030-05-15 09:00:00,TRAN-PUB,charging,10.105263157898,XY,MW
2030-05-16 10:00:00,TRAN-PRV,charging,4.421052631584,XY,MW
2030-05-17 11:00:00,TRAN-PUB,charging,2.9473684210535,XY,MW
2030-05-18 12:00:00,TRAN-PRV,charging,17.052631578975,XY,MW
2030-05-19 13:00:00,TRAN-PUB,charging,11.3684210526265,XY,MW
2030-05-20 14:00:00,TRAN-PRV,charging,15.15789473685,XY,MW
2030-05-21 15:00:00,TRAN-PUB,charging,10.105263157898,XY,MW
2030-05-22 16:00:00,TRAN-PRV,charging,27.78947368425,XY,MW
2030-05-23 17:00:00,TRAN-PUB,charging,18.526315789468,XY,MW
2030-05-24 18:00:00,TRAN-PRV,charging,32.84210526321,XY,MW
2030-05-25 19:00:00,TRAN-PUB,charging,21.894736842104,XY,MW
2030-05-26 20:00:00,TRAN-PRV,charging,36.6315789474,XY,MW
2030-05-27 21:00:00,TRAN-PUB,charging,24.421052631590996,XY,MW
2030-05-28 22:00:00,TRAN-PRV,charging,39.789473684265005,XY,MW
2030-05-29 23:00:00,TRAN-PUB,charging,26.526315789468498,XY,MW
2030-05-31 00:00:00,TRAN-PRV,charging,41.684210526360005,XY,MW
2030-06-01 01:00:00,TRAN-PUB,charging,27.789473684217,XY,MW
2030-06-02 02:00:00,TRAN-PRV,charging,46.757894736862106,XY,MW
2030-06-03 03:00:00,TRAN-PUB,charging,32.000000000002,XY,MW
2030-06-04 04:00:00,TRAN-PRV,charging,53.05263157902,XY,MW
2030-06-05 05:00:00,TRAN-PUB,charging,35.368421052628,XY,MW
2030-06-06 06:00:00,TRAN-PRV,charging,56.84210526324,XY,MW
2030-06-07 07:00:00,TRAN-PUB,charging,37.894736842105004,XY,MW
2030-06-08 08:00:00,TRAN-PRV,charging,56.84210526324,XY,MW
2030-06-09 09:00:00,TRAN-PUB,charging,37.894736842105004,XY,MW
2030-06-10 10:00:00,TRAN-PRV,charging,53.05263157902,XY,MW
2030-06-11 11:00:00,TRAN-PUB,charging,35.368421052628,XY,MW
2030-06-12 12:00:00,TRAN-PRV,charging,45.47368421058,XY,MW
2030-06-13 13:00:00,TRAN-PUB,charging,30.315789473684,XY,MW
2030-06-14 14:00:00,TRAN-PRV,charging,46.105263157965,XY,MW
2030-06-15 15:00:00,TRAN-PUB,charging,30.7368421052635,XY,MW
2030-06-16 16:00:00,TRAN-PRV,charging,51.073684210545,XY,MW
2030-06-17 17:00:00,TRAN-PUB,charging,34.9473684210585,XY,MW
2030-06-18 18:00:00,TRAN-PRV,charging,25.894736842125,XY,MW
2030-06-19 19:00:00,TRAN-PUB,charging,17.2631578947395,XY,MW
2030-06-20 20:00:00,TRAN-PRV,charging,28.421052631605,XY,MW
2030-06-21 21:00:00,TRAN-PUB,charging,18.9473684210575,XY,MW
2030-06-22 22:00:00,TRAN-PRV,charging,27.157894736864996,XY,MW
2030-06-23 23:00:00,TRAN-PUB,charging,18.1052631578985,XY,MW
2030-06-25 00:00:00,TRAN-PRV,charging,20.842105263195002,XY,MW
2030-06-26 01:00:00,TRAN-PUB,charging,13.8947368421035,XY,MW
2030-06-27 02:00:00,TRAN-PRV,charging,10.736842105275,XY,MW
2030-06-28 03:00:00,TRAN-PUB,charging,7.1578947368465,XY,MW
2030-06-29 04:00:00,TRAN-PRV,charging,14.526315789495001,XY,MW
2030-06-30 05:00:00,TRAN-PUB,charging,9.6842105263185,XY,MW
2030-07-01 06:00:00,TRAN-PRV,charging,18.94736842107,XY,MW
2030-07-02 07:00:00,TRAN-PUB,charging,12.631578947374999,XY,MW
2030-07-03 08:00:00,TRAN-PRV,charging,2.526315789477,XY,MW
2030-07-04 09:00:00,TRAN-PUB,charging,1.684210526315,XY,MW
2030-07-05 10:00:00,TRAN-PRV,charging,9.473684210535,XY,MW
2030-07-06 11:00:00,TRAN-PUB,charging,6.3157894736864995,XY,MW
2030-07-07 12:00:00,TRAN-PRV,charging,12.63157894737,XY,MW
2030-07-08 13:00:00,TRAN-PUB,charging,8.42105263159,XY,MW
2030-07-09 14:00:00,TRAN-PRV,charging,15.15789473685,XY,MW
2030-07-10 15:00:00,TRAN-PUB,charging,10.105263157898,XY,MW
2030-07-11 16:00:00,TRAN-PRV,charging,15.789473684235,XY,MW
2030-07-12 17:00:00,TRAN-PUB,charging,10.5263157894675,XY,MW
2030-07-13 18:00:00,TRAN-PRV,charging,27.157894736864996,XY,MW
2030-07-14 19:00:00,TRAN-PUB,charging,18.1052631578985,XY,MW
2030-07-15 20:00:00,TRAN-PRV,charging,26.52631578951,XY,MW
2030-07-16 21:00:00,TRAN-PUB,charging,17.684210526319,XY,MW
2030-07-17 22:00:00,TRAN-PRV,charging,42.9473684211,XY,MW
2030-07-18 23:00:00,TRAN-PUB,charging,28.631578947376,XY,MW
2030-07-20 00:00:00,TRAN-PRV,charging,47.368421052705,XY,MW
2030-07-21 01:00:00,TRAN-PUB,charging,31.5789473684125,XY,MW
2030-07-22 02:00:00,TRAN-PRV,charging,49.894736842155005,XY,MW
2030-07-23 03:00:00,TRAN-PUB,charging,33.2631578947405,XY,MW
2030-07-24 04:00:00,TRAN-PRV,charging,52.42105263163499,XY,MW
2030-07-25 05:00:00,TRAN-PUB,charging,34.9473684210585,XY,MW
2030-07-26 06:00:00,TRAN-PRV,charging,52.42105263163499,XY,MW
2030-07-27 07:00:00,TRAN-PUB,charging,34.9473684210585,XY,MW
2030-07-28 08:00:00,TRAN-PRV,charging,39.45263157894737,XY,MW
2030-07-29 09:00:00,TRAN-PUB,charging,36.210526315787,XY,MW
2030-07-30 10:00:00,TRAN-PRV,charging,49.894736842155005,XY,MW
2030-07-31 11:00:00,TRAN-PUB,charging,33.2631578947405,XY,MW
2030-08-01 12:00:00,TRAN-PRV,charging,44.21052631584,XY,MW
2030-08-02 13:00:00,TRAN-PUB,charging,29.473684210534998,XY,MW
2030-08-03 14:00:00,TRAN-PRV,charging,33.473684210565,XY,MW
2030-08-04 15:00:00,TRAN-PUB,charging,22.3157894736835,XY,MW
2030-08-05 16:00:00,TRAN-PRV,charging,27.78947368425,XY,MW
2030-08-06 17:00:00,TRAN-PUB,charging,18.526315789468,XY,MW
2030-08-07 18:00:00,TRAN-PRV,charging,28.421052631605,XY,MW
2030-08-08 19:00:00,TRAN-PUB,charging,18.9473684210575,XY,MW
2030-08-09 20:00:00,TRAN-PRV,charging,30.947368421085002,XY,MW
2030-08-10 21:00:00,TRAN-PUB,charging,20.6315789473755,XY,MW
2030-08-11 22:00:00,TRAN-PRV,charging,32.84210526321,XY,MW
2030-08-12 23:00:00,TRAN-PUB,charging,21.894736842104,XY,MW
2030-08-14 00:00:00,TRAN-PRV,charging,24.00000000003,XY,MW
2030-08-15 01:00:00,TRAN-PUB,charging,16.000000000001,XY,MW
2030-08-16 02:00:00,TRAN-PRV,charging,26.52631578951,XY,MW
2030-08-17 03:00:00,TRAN-PUB,charging,17.684210526319,XY,MW
2030-08-18 04:00:00,TRAN-PRV,charging,22.73684210529,XY,MW
2030-08-19 05:00:00,TRAN-PUB,charging,15.157894736851999,XY,MW
2030-08-20 06:00:00,TRAN-PRV,charging,17.052631578975,XY,MW
2030-08-21 07:00:00,TRAN-PUB,charging,11.3684210526265,XY,MW
2030-08-22 08:00:00,TRAN-PRV,charging,1.894736842107,XY,MW
2030-08-23 09:00:00,TRAN-PUB,charging,1.2631578947375,XY,MW
2030-08-24 10:00:00,TRAN-PRV,charging,13.263157894755,XY,MW
2030-08-25 11:00:00,TRAN-PUB,charging,8.842105263149499,XY,MW
2030-08-26 12:00:00,TRAN-PRV,charging,13.894736842110001,XY,MW
2030-08-27 13:00:00,TRAN-PUB,charging,9.263157894739,XY,MW
2030-08-28 14:00:00,TRAN-PRV,charging,20.21052631581,XY,MW
2030-08-29 15:00:00,TRAN-PUB,charging,13.473684210534,XY,MW
2030-08-30 16:00:00,TRAN-PRV,charging,22.73684210529,XY,MW
2030-08-31 17:00:00,TRAN-PUB,charging,15.157894736851999,XY,MW
2030-09-01 18:00:00,TRAN-PRV,charging,30.947368421085002,XY,MW
2030-09-02 19:00:00,TRAN-PUB,charging,20.6315789473755,XY,MW
2030-09-03 20:00:00,TRAN-PRV,charging,34.10526315795,XY,MW
2030-09-04 21:00:00,TRAN-PUB,charging,22.736842105262998,XY,MW
2030-09-05 22:00:00,TRAN-PRV,charging,34.10526315795,XY,MW
2030-09-06 23:00:00,TRAN-PUB,charging,22.736842105262998,XY,MW
2030-09-08 00:00:00,TRAN-PRV,charging,41.684210526360005,XY,MW
2030-09-09 01:00:00,TRAN-PUB,charging,27.789473684217,XY,MW
2030-09-10 02:00:00,TRAN-PRV,charging,46.73684210532,XY,MW
2030-09-11 03:00:00,TRAN-PUB,charging,31.157894736853,XY,MW
2030-09-12 04:00:00,TRAN-PRV,charging,54.31578947376,XY,MW
2030-09-13 05:00:00,TRAN-PUB,charging,36.210526315787,XY,MW
2030-09-14 06:00:00,TRAN-PRV,charging,55.5789473685,XY,MW
2030-09-15 07:00:00,TRAN-PUB,charging,37.052631578946,XY,MW
2030-09-16 08:00:00,TRAN-PRV,charging,51.78947368428,XY,MW
2030-09-17 09:00:00,TRAN-PUB,charging,34.526315789468995,XY,MW
2030-09-18 10:00:00,TRAN-PRV,charging,55.5789473685,XY,MW
2030-09-19 11:00:00,TRAN-PUB,charging,37.052631578946,XY,MW
2030-09-20 12:00:00,TRAN-PRV,charging,54.31578947376,XY,MW
2030-09-21 13:00:00,TRAN-PUB,charging,36.210526315787,XY,MW
2030-09-22 14:00:00,TRAN-PRV,charging,45.81052631580921,XY,MW
2030-09-23 15:00:00,TRAN-PUB,charging,35.7894736842175,XY,MW
2030-09-24 16:00:00,TRAN-PRV,charging,24.00000000003,XY,MW
2030-09-25 17:00:00,TRAN-PUB,charging,16.000000000001,XY,MW
2030-09-26 18:00:00,TRAN-PRV,charging,25.894736842125,XY,MW
2030-09-27 19:00:00,TRAN-PUB,charging,17.2631578947395,XY,MW
2030-09-28 20:00:00,TRAN-PRV,charging,27.157894736864996,XY,MW
2030-09-29 21:00:00,TRAN-PUB,charging,18.1052631578985,XY,MW
2030-09-30 22:00:00,TRAN-PRV,charging,26.52631578951,XY,MW
2030-10-01 23:00:00,TRAN-PUB,charging,17.684210526319,XY,MW
2030-10-03 00:00:00,TRAN-PRV,charging,18.315789473715,XY,MW
2030-10-04 01:00:00,TRAN-PUB,charging,12.210526315785499,XY,MW
2030-10-05 02:00:00,TRAN-PRV,charging,13.263157894755,XY,MW
2030-10-06 03:00:00,TRAN-PUB,charging,8.842105263149499,XY,MW
2030-10-07 04:00:00,TRAN-PRV,charging,19.578947368455,XY,MW
2030-10-08 05:00:00,TRAN-PUB,charging,13.0526315789445,XY,MW
2030-10-09 06:00:00,TRAN-PRV,charging,13.894736842110001,XY,MW
2030-10-10 07:00:00,TRAN-PUB,charging,9.263157894739,XY,MW
2030-10-11 08:00:00,TRAN-PRV,charging,14.526315789495001,XY,MW
2030-10-12 09:00:00,TRAN-PUB,charging,9.6842105263185,XY,MW
2030-10-13 10:00:00,TRAN-PRV,charging,13.894736842110001,XY,MW
2030-10-14 11:00:00,TRAN-PUB,charging,9.263157894739,XY,MW
2030-10-15 12:00:00,TRAN-PRV,charging,11.36842105266,XY,MW
2030-10-16 13:00:00,TRAN-PUB,charging,7.578947368413999,XY,MW
2030-10-17 14:00:00,TRAN-PRV,charging,10.736842105275,XY,MW
