snapshot,country,flow,value,unit
2030-01-01 00:00:00,XY,XY_CE,0.0,MW
2030-01-02 01:00:00,XY,XY_CE,0.0,MW
2030-01-03 02:00:00,XY,XY_CE,0.0,MW
2030-01-04 03:00:00,XY,XY_CE,0.0,MW
2030-01-05 04:00:00,XY,XY_CE,0.0,MW
2030-01-06 05:00:00,XY,XY_CE,0.0,MW
2030-01-07 06:00:00,XY,XY_CE,0.0,MW
2030-01-08 07:00:00,XY,XY_CE,0.0,MW
2030-01-09 08:00:00,XY,XY_CE,0.0,MW
2030-01-10 09:00:00,XY,XY_CE,0.0,MW
2030-01-11 10:00:00,XY,XY_CE,0.0,MW
2030-01-12 11:00:00,XY,XY_CE,0.0,MW
2030-01-13 12:00:00,XY,XY_CE,0.0,MW
2030-01-14 13:00:00,XY,XY_CE,0.0,MW
2030-01-15 14:00:00,XY,XY_CE,0.0,MW
2030-01-16 15:00:00,XY,XY_CE,0.0,MW
2030-01-17 16:00:00,XY,XY_CE,0.0,MW
2030-01-18 17:00:00,XY,XY_CE,0.0,MW
2030-01-19 18:00:00,XY,XY_CE,0.0,MW
2030-01-20 19:00:00,XY,XY_CE,0.0,MW
2030-01-21 20:00:00,XY,XY_CE,0.0,MW
2030-01-22 21:00:00,XY,XY_CE,0.0,MW
2030-01-23 22:00:00,XY,XY_CE,0.0,MW
2030-01-24 23:00:00,XY,XY_CE,0.0,MW
2030-01-26 00:00:00,XY,XY_CE,0.0,MW
2030-01-27 01:00:00,XY,XY_CE,0.0,MW
2030-01-28 02:00:00,XY,XY_CE,0.0,MW
2030-01-29 03:00:00,XY,XY_CE,0.0,MW
2030-01-30 04:00:00,XY,XY_CE,0.0,MW
2030-01-31 05:00:00,XY,XY_CE,0.0,MW
2030-02-01 06:00:00,XY,XY_CE,0.0,MW
2030-02-02 07:00:00,XY,XY_CE,0.0,MW
2030-02-03 08:00:00,XY,XY_CE,0.0,MW
2030-02-04 09:00:00,XY,XY_CE,0.0,MW
2030-02-05 10:00:00,XY,XY_CE,0.0,MW
2030-02-06 11:00:00,XY,XY_CE,0.0,MW
2030-02-07 12:00:00,XY,XY_CE,0.0,MW
2030-02-08 13:00:00,XY,XY_CE,0.0,MW
2030-02-09 14:00:00,XY,XY_CE,0.0,MW
2030-02-10 15:00:00,XY,XY_CE,0.0,MW
2030-02-11 16:00:00,XY,XY_CE,0.0,MW
2030-02-12 17:00:00,XY,XY_CE,0.0,MW
2030-02-13 18:00:00,XY,XY_CE,0.0,MW
2030-02-14 19:00:00,XY,XY_CE,0.0,MW
2030-02-15 20:00:00,XY,XY_CE,0.0,MW
2030-02-16 21:00:00,XY,XY_CE,0.0,MW
2030-02-17 22:00:00,XY,XY_CE,0.0,MW
2030-02-18 23:00:00,XY,XY_CE,0.0,MW
2030-02-20 00:00:00,XY,XY_CE,0.0,MW
2030-02-21 01:00:00,XY,XY_CE,0.0,MW
2030-02-22 02:00:00,XY,XY_CE,0.0,MW
2030-02-23 03:00:00,XY,XY_CE,0.0,MW
2030-02-24 04:00:00,XY,XY_CE,0.0,MW
2030-02-25 05:00:00,XY,XY_CE,0.0,MW
2030-02-26 06:00:00,XY,XY_CE,0.0,MW
2030-02-27 07:00:00,XY,XY_CE,0.0,MW
2030-02-28 08:00:00,XY,XY_CE,0.0,MW
2030-03-01 09:00:00,XY,XY_CE,0.0,MW
2030-03-02 10:00:00,XY,XY_CE,0.0,MW
2030-03-03 11:00:00,XY,XY_CE,0.0,MW
2030-03-04 12:00:00,XY,XY_CE,0.0,MW
2030-03-05 13:00:00,XY,XY_CE,0.0,MW
2030-03-06 14:00:00,XY,XY_CE,0.0,MW
2030-03-07 15:00:00,XY,XY_CE,0.0,MW
2030-03-08 16:00:00,XY,XY_CE,0.0,MW
2030-03-09 17:00:00,XY,XY_CE,0.0,MW
2030-03-10 18:00:00,XY,XY_CE,0.0,MW
2030-03-11 19:00:00,XY,XY_CE,0.0,MW
2030-03-12 20:00:00,XY,XY_CE,0.0,MW
2030-03-13 21:00:00,XY,XY_CE,0.0,MW
2030-03-14 22:00:00,XY,XY_CE,0.0,MW
2030-03-15 23:00:00,XY,XY_CE,0.0,MW
2030-03-17 00:00:00,XY,XY_CE,0.0,MW
2030-03-18 01:00:00,XY,XY_CE,0.0,MW
2030-03-19 02:00:00,XY,XY_CE,0.0,MW
2030-03-20 03:00:00,XY,XY_CE,0.0,MW
2030-03-21 04:00:00,XY,XY_CE,0.0,MW
2030-03-22 05:00:00,XY,XY_CE,0.0,MW
2030-03-23 06:00:00,XY,XY_CE,0.0,MW
2030-03-24 07:00:00,XY,XY_CE,0.0,MW
2030-03-25 08:00:00,XY,XY_CE,0.0,MW
2030-03-26 09:00:00,XY,XY_CE,0.0,MW
2030-03-27 10:00:00,XY,XY_CE,0.0,MW
2030-03-28 11:00:00,XY,XY_CE,0.0,MW
2030-03-29 12:00:00,XY,XY_CE,0.0,MW
2030-03-30 13:00:00,XY,XY_CE,0.0,MW
2030-03-31 14:00:00,XY,XY_CE,0.0,MW
2030-04-01 15:00:00,XY,XY_CE,0.0,MW
2030-04-02 16:00:00,XY,XY_CE,0.0,MW
2030-04-03 17:00:00,XY,XY_CE,0.0,MW
2030-04-04 18:00:00,XY,XY_CE,0.0,MW
2030-04-05 19:00:00,XY,XY_CE,0.0,MW
2030-04-06 20:00:00,XY,XY_CE,0.0,MW
2030-04-07 21:00:00,XY,XY_CE,0.0,MW
2030-04-08 22:00:00,XY,XY_CE,0.0,MW
2030-04-09 23:00:00,XY,XY_CE,0.0,MW
2030-04-11 00:00:00,XY,XY_CE,0.0,MW
2030-04-12 01:00:00,XY,XY_CE,0.0,MW
2030-04-13 02:00:00,XY,XY_CE,0.0,MW
2030-04-14 03:00:00,XY,XY_CE,0.0,MW
2030-04-15 04:00:00,XY,XY_CE,0.0,MW
2030-04-16 05:00:00,XY,XY_CE,0.0,MW
2030-04-17 06:00:00,XY,XY_CE,0.0,MW
2030-04-18 07:00:00,XY,XY_CE,0.0,MW
2030-04-19 08:00:00,XY,XY_CE,0.0,MW
