flow,snapshot,value,unit
XY_CE_to_XY_NR,2040-01-01 00:00:00,-820.0221615349221,MW
XY_CE_to_XY_NR,2040-01-02 01:00:00,-910.0432141664858,MW
XY_CE_to_XY_NR,2040-01-03 02:00:00,-931.4432141664759,MW
XY_CE_to_XY_NR,2040-01-04 03:00:00,-876.2432141664756,MW
XY_CE_to_XY_NR,2040-01-05 04:00:00,-884.6432141664761,MW
XY_CE_to_XY_NR,2040-01-06 05:00:00,-885.4432141664752,MW
XY_CE_to_XY_NR,2040-01-07 06:00:00,-842.9401439907017,MW
XY_CE_to_XY_NR,2040-01-08 07:00:00,-755.2033774161196,MW
XY_CE_to_XY_NR,2040-01-09 08:00:00,-637.4432141664956,MW
XY_CE_to_XY_NR,2040-01-10 09:00:00,-624.0432141664953,MW
XY_CE_to_XY_NR,2040-01-11 10:00:00,-332.71594143949574,MW
XY_CE_to_XY_NR,2040-01-12 11:00:00,-386.71594143949596,MW
XY_CE_to_XY_NR,2040-01-13 12:00:00,-284.3159414394959,MW
XY_CE_to_XY_NR,2040-01-14 13:00:00,-460.9159414394953,MW
XY_CE_to_XY_NR,2040-01-15 14:00:00,-902.4432141664956,MW
XY_CE_to_XY_NR,2040-01-16 15:00:00,-910.2432141664958,MW
XY_CE_to_XY_NR,2040-01-17 16:00:00,-618.4432141665054,MW
XY_CE_to_XY_NR,2040-01-18 17:00:00,-414.4432141664954,MW
XY_CE_to_XY_NR,2040-01-19 18:00:00,-572.7326897778153,MW
XY_CE_to_XY_NR,2040-01-20 19:00:00,-1214.9763333312223,MW
XY_CE_to_XY_NR,2040-01-21 20:00:00,-1190.1999999979598,MW
XY_CE_to_XY_NR,2040-01-22 21:00:00,-1187.233333331283,MW
XY_CE_to_XY_NR,2040-01-23 22:00:00,-1246.44999999805,MW
XY_CE_to_XY_NR,2040-01-24 23:00:00,-679.8432141664853,MW
XY_CE_to_XY_NR,2040-01-26 00:00:00,-842.043214166486,MW
XY_CE_to_XY_NR,2040-01-27 01:00:00,-863.043214166486,MW
XY_CE_to_XY_NR,2040-01-28 02:00:00,-969.843214166476,MW
XY_CE_to_XY_NR,2040-01-29 03:00:00,-952.4432141664754,MW
XY_CE_to_XY_NR,2040-01-30 04:00:00,-938.843214166476,MW
XY_CE_to_XY_NR,2040-01-31 05:00:00,-898.4432141664856,MW
XY_CE_to_XY_NR,2040-02-01 06:00:00,-990.4432141664856,MW
XY_CE_to_XY_NR,2040-02-02 07:00:00,-876.6432141664957,MW
XY_CE_to_XY_NR,2040-02-03 08:00:00,-618.6432141664857,MW
XY_CE_to_XY_NR,2040-02-04 09:00:00,-723.843214166476,MW
XY_CE_to_XY_NR,2040-02-05 10:00:00,-638.7159414394953,MW
XY_CE_to_XY_NR,2040-02-06 11:00:00,-798.715941439495,MW
XY_CE_to_XY_NR,2040-02-07 12:00:00,-739.1159414394951,MW
XY_CE_to_XY_NR,2040-02-08 13:00:00,-969.654650711992,MW
XY_CE_to_XY_NR,2040-02-09 14:00:00,-748.3159414394955,MW
XY_CE_to_XY_NR,2040-02-10 15:00:00,-899.5159414394955,MW
XY_CE_to_XY_NR,2040-02-11 16:00:00,-678.5159414394955,MW
XY_CE_to_XY_NR,2040-02-12 17:00:00,-750.6432141664952,MW
XY_CE_to_XY_NR,2040-02-13 18:00:00,-1127.0520134403462,MW
XY_CE_to_XY_NR,2040-02-14 19:00:00,-1166.2639192313673,MW
XY_CE_to_XY_NR,2040-02-15 20:00:00,-697.6432141664955,MW
XY_CE_to_XY_NR,2040-02-16 21:00:00,-776.4432141664956,MW
XY_CE_to_XY_NR,2040-02-17 22:00:00,-722.0432141664953,MW
XY_CE_to_XY_NR,2040-02-18 23:00:00,-762.2432141664958,MW
XY_CE_to_XY_NR,2040-02-20 00:00:00,-954.8432141664853,MW
XY_CE_to_XY_NR,2040-02-21 01:00:00,-994.6432141664859,MW
XY_CE_to_XY_NR,2040-02-22 02:00:00,-1082.4432141664759,MW
XY_CE_to_XY_NR,2040-02-23 03:00:00,-1073.8432141664755,MW
XY_CE_to_XY_NR,2040-02-24 04:00:00,-1032.8432141664757,MW
XY_CE_to_XY_NR,2040-02-25 05:00:00,-988.443214166475,MW
XY_CE_to_XY_NR,2040-02-26 06:00:00,-783.4432141664754,MW
XY_CE_to_XY_NR,2040-02-27 07:00:00,-745.8432141664853,MW
XY_CE_to_XY_NR,2040-02-28 08:00:00,-871.8432141664955,MW
XY_CE_to_XY_NR,2040-02-29 09:00:00,-859.8432141664857,MW
XY_CE_to_XY_NR,2040-03-01 10:00:00,-425.71594143949574,MW
XY_CE_to_XY_NR,2040-03-02 11:00:00,-230.7159414394954,MW
XY_CE_to_XY_NR,2040-03-03 12:00:00,-341.5159414394957,MW
XY_CE_to_XY_NR,2040-03-04 13:00:00,-196.3159414394952,MW
XY_CE_to_XY_NR,2040-03-05 14:00:00,-345.9159414394951,MW
XY_CE_to_XY_NR,2040-03-06 15:00:00,-284.3159414394954,MW
XY_CE_to_XY_NR,2040-03-07 16:00:00,-271.9159414394951,MW
XY_CE_to_XY_NR,2040-03-08 17:00:00,-453.4432141665036,MW
XY_CE_to_XY_NR,2040-03-09 18:00:00,-212.68724383331346,MW
XY_CE_to_XY_NR,2040-03-10 19:00:00,-919.7166666647264,MW
XY_CE_to_XY_NR,2040-03-11 20:00:00,-960.92499999806,MW
XY_CE_to_XY_NR,2040-03-12 21:00:00,-1061.9916666647166,MW
XY_CE_to_XY_NR,2040-03-13 22:00:00,-1155.391666664717,MW
XY_CE_to_XY_NR,2040-03-14 23:00:00,-694.043214166496,MW
XY_CE_to_XY_NR,2040-03-16 00:00:00,-756.6432141664854,MW
XY_CE_to_XY_NR,2040-03-17 01:00:00,-780.4432141664854,MW
XY_CE_to_XY_NR,2040-03-18 02:00:00,-846.9468718953228,MW
XY_CE_to_XY_NR,2040-03-19 03:00:00,-817.243214166476,MW
XY_CE_to_XY_NR,2040-03-20 04:00:00,-738.0432141664758,MW
XY_CE_to_XY_NR,2040-03-21 05:00:00,-796.0432141664758,MW
XY_CE_to_XY_NR,2040-03-22 06:00:00,-672.8432141664857,MW
XY_CE_to_XY_NR,2040-03-23 07:00:00,-389.2432141664856,MW
XY_CE_to_XY_NR,2040-03-24 08:00:00,-519.6432141664854,MW
XY_CE_to_XY_NR,2040-03-25 09:00:00,-562.2432141664954,MW
XY_CE_to_XY_NR,2040-03-26 10:00:00,-546.2432141664856,MW
XY_CE_to_XY_NR,2040-03-27 11:00:00,-229.7159414394954,MW
XY_CE_to_XY_NR,2040-03-28 12:00:00,-485.490214414388,MW
XY_CE_to_XY_NR,2040-03-29 13:00:00,-528.2261780837675,MW
XY_CE_to_XY_NR,2040-03-30 14:00:00,-393.1159414394954,MW
XY_CE_to_XY_NR,2040-03-31 15:00:00,-607.4432141664956,MW
XY_CE_to_XY_NR,2040-04-01 16:00:00,-420.4432141665045,MW
XY_CE_to_XY_NR,2040-04-02 17:00:00,-1056.457677192353,MW
XY_CE_to_XY_NR,2040-04-03 18:00:00,-965.1709999979544,MW
XY_CE_to_XY_NR,2040-04-04 19:00:00,-1154.2499999980603,MW
XY_CE_to_XY_NR,2040-04-05 20:00:00,-1189.02499999807,MW
XY_CE_to_XY_NR,2040-04-06 21:00:00,-1091.6666666646267,MW
XY_CE_to_XY_NR,2040-04-07 22:00:00,-1053.62499999806,MW
XY_CE_to_XY_NR,2040-04-08 23:00:00,-1141.7916666647163,MW
XY_CE_to_XY_NR,2040-04-10 00:00:00,-1285.6499999980497,MW
XY_CE_to_XY_NR,2040-04-11 01:00:00,-1259.2499999980394,MW
XY_CE_to_XY_NR,2040-04-12 02:00:00,-1308.24999999805,MW
XY_CE_to_XY_NR,2040-04-13 03:00:00,-1319.4499999980503,MW
