country,technology,carrier,year,value,unit
XY,BIOT,Bio,2040,265.58,Million usd
YZ,BIOT,Bio,2040,5.23,Million usd
XY,CCGT,Gas,2040,693.86,Million usd
YZ,CCGT,Gas,2040,575.08,Million usd
XY,CSP,Solar,2040,36.42,Million usd
XY,EDLH,Electricity,2040,104.84,Million usd
YZ,EDLH,Electricity,2040,170.96,Million usd
YZ,EERH,Electricity,2040,227.65,Million usd
XY,EHPP,Electricity,2040,55.51,Million usd
YZ,EHPP,Electricity,2040,218.72,Million usd
XY,EIDT,Electricity,2040,217.56,Million usd
YZ,EIDT,Electricity,2040,278.36,Million usd
XY,ELTZ,Hyd,2040,54.3,Million usd
XY,EVCH-PRV,Electricity,2040,0.05,Million usd
YZ,EVCH-PRV,Electricity,2040,0.07,Million usd
XY,EVCH-PUB,Electricity,2040,0.03,Million usd
YZ,EVCH-PUB,Electricity,2040,0.05,Million usd
XY,HDAM,Water,2040,287.58,Million usd
YZ,HROR,Water,2040,1817.48,Million usd
XY,HYD,Hyd,2040,13.41,Million usd
XY,IND_BOILER,Bio,2040,127.22,Million usd
YZ,IND_BOILER,Bio,2040,197.53,Million usd
XY,IND_BOILER,Gas,2040,154.53,Million usd
YZ,IND_BOILER,Gas,2040,223.95,Million usd
XY,IND_BOILER,Hrdc,2040,89.29,Million usd
YZ,IND_BOILER,Hrdc,2040,143.73,Million usd
XY,IND_BOILER,Hyd,2040,19.57,Million usd
XY,IND_BOILER,Oil,2040,0.78,Million usd
YZ,IND_BOILER,Oil,2040,152.69,Million usd
XY,ITCN,Electricity,2040,17.16,Million usd
YZ,ITCN,Electricity,2040,34.42,Million usd
XY,NUCL,Uranium,2040,754.85,Million usd
YZ,OCGT,Gas,2040,435.38,Million usd
XY,OILT,Oil,2040,17.88,Million usd
YZ,OILT,Oil,2040,17.75,Million usd
XY,PHOT,Solar,2040,528.79,Million usd
YZ,PHOT,Solar,2040,405.15,Million usd
XY,RTPV,Solar,2040,27.98,Million usd
YZ,RTPV,Solar,2040,47.58,Million usd
XY,SWHT,Solar,2040,315.12,Million usd
XY,SubC,Hrdc,2040,254.35,Million usd
YZ,SubC,Hrdc,2040,760.38,Million usd
XY,SubC,Lig,2040,179.54,Million usd
YZ,SubC,Lig,2040,297.02,Million usd
YZ,SupC,Hrdc,2040,1002.45,Million usd
XY,WSTT,Waste,2040,7.92,Million usd
XY,WTON,Wind,2040,450.02,Million usd
YZ,WTON,Wind,2040,3175.37,Million usd
