flow,snapshot,value,unit
XY_CE_to_XY_NR,2030-03-25 08:00:00,-1225.5171052612216,MW
XY_CE_to_XY_NR,2030-03-26 09:00:00,-1265.7749999980574,MW
XY_CE_to_XY_NR,2030-03-27 10:00:00,-1249.7749999980567,MW
XY_CE_to_XY_NR,2030-03-28 11:00:00,-933.2477272710569,MW
XY_CE_to_XY_NR,2030-03-29 12:00:00,-752.1005272733894,MW
XY_CE_to_XY_NR,2030-03-30 13:00:00,-755.5463272733937,MW
XY_CE_to_XY_NR,2030-03-31 14:00:00,-768.7477272710628,MW
XY_CE_to_XY_NR,2030-04-01 15:00:00,-1307.4749999980609,MW
XY_CE_to_XY_NR,2030-04-02 16:00:00,-1123.8749999980687,MW
XY_CE_to_XY_NR,2030-04-03 17:00:00,-1147.5249999980404,MW
XY_CE_to_XY_NR,2030-04-04 18:00:00,-913.7749999980392,MW
XY_CE_to_XY_NR,2030-04-05 19:00:00,-1102.1249999980632,MW
XY_CE_to_XY_NR,2030-04-06 20:00:00,-1133.8749999980623,MW
XY_CE_to_XY_NR,2030-04-07 21:00:00,-1084.949999998032,MW
XY_CE_to_XY_NR,2030-04-08 22:00:00,-1045.4749999980575,MW
XY_CE_to_XY_NR,2030-04-09 23:00:00,-1121.4749999980495,MW
XY_CE_to_XY_NR,2030-04-11 00:00:00,-1240.2749999980472,MW
XY_CE_to_XY_NR,2030-04-12 01:00:00,-1210.099999998046,MW
XY_CE_to_XY_NR,2030-04-13 02:00:00,-1259.999999998045,MW
XY_CE_to_XY_NR,2030-04-14 03:00:00,-1271.1249999980455,MW
XY_CE_to_XY_NR,2030-04-15 04:00:00,-1375.0710526296482,MW
XY_CE_to_XY_NR,2030-04-16 05:00:00,-1348.324999998046,MW
XY_CE_to_XY_NR,2030-04-17 06:00:00,-1273.1749999980489,MW
XY_CE_to_XY_NR,2030-04-18 07:00:00,-1253.8749999980541,MW
XY_CE_to_XY_NR,2030-04-19 08:00:00,-1269.1249999980569,MW
XY_CE_to_XY_NR,2030-04-20 09:00:00,-1401.0749999980565,MW
XY_CE_to_XY_NR,2030-04-21 10:00:00,-1456.7749999980556,MW
XY_CE_to_XY_NR,2030-04-22 11:00:00,-1194.574999998054,MW
XY_CE_to_XY_NR,2030-04-23 12:00:00,-1623.7749999980588,MW
XY_CE_to_XY_NR,2030-04-24 13:00:00,-1072.7625776827235,MW
XY_CE_to_XY_NR,2030-04-25 14:00:00,-1534.074999998059,MW
XY_CE_to_XY_NR,2030-04-26 15:00:00,-1606.1249999980623,MW
XY_CE_to_XY_NR,2030-04-27 16:00:00,-1411.074999998069,MW
XY_CE_to_XY_NR,2030-04-28 17:00:00,-965.8569246435707,MW
XY_CE_to_XY_NR,2030-04-29 18:00:00,-1015.9249999980382,MW
XY_CE_to_XY_NR,2030-04-30 19:00:00,-1132.7249999980352,MW
XY_CE_to_XY_NR,2030-05-01 20:00:00,-1286.5844999979624,MW
XY_CE_to_XY_NR,2030-05-02 21:00:00,-1084.0999999980302,MW
XY_CE_to_XY_NR,2030-05-03 22:00:00,-1165.099999998029,MW
XY_CE_to_XY_NR,2030-05-04 23:00:00,-1104.774999998054,MW
XY_CE_to_XY_NR,2030-05-06 00:00:00,-1112.77499999805,MW
XY_CE_to_XY_NR,2030-05-07 01:00:00,-1251.7499999980482,MW
XY_CE_to_XY_NR,2030-05-08 02:00:00,-1280.9999999980441,MW
XY_CE_to_XY_NR,2030-05-09 03:00:00,-1306.9749999980431,MW
XY_CE_to_XY_NR,2030-05-10 04:00:00,-1327.249999998046,MW
XY_CE_to_XY_NR,2030-05-11 05:00:00,-1342.4999999980437,MW
XY_CE_to_XY_NR,2030-05-12 06:00:00,-1260.599999998044,MW
XY_CE_to_XY_NR,2030-05-13 07:00:00,-1296.0026315769865,MW
XY_CE_to_XY_NR,2030-05-14 08:00:00,-1063.2749999980585,MW
XY_CE_to_XY_NR,2030-05-15 09:00:00,-1123.1749999980577,MW
XY_CE_to_XY_NR,2030-05-16 10:00:00,-1427.374999998057,MW
XY_CE_to_XY_NR,2030-05-17 11:00:00,-1525.0499999980573,MW
XY_CE_to_XY_NR,2030-05-18 12:00:00,-1541.199999998061,MW
XY_CE_to_XY_NR,2030-05-19 13:00:00,-1427.8749999980635,MW
XY_CE_to_XY_NR,2030-05-20 14:00:00,-1399.8749999980605,MW
XY_CE_to_XY_NR,2030-05-21 15:00:00,-1336.3499999980381,MW
XY_CE_to_XY_NR,2030-05-22 16:00:00,-930.5749999980376,MW
XY_CE_to_XY_NR,2030-05-23 17:00:00,-1070.0249999980385,MW
XY_CE_to_XY_NR,2030-05-24 18:00:00,-1205.89999999804,MW
XY_CE_to_XY_NR,2030-05-25 19:00:00,-1182.84999999804,MW
XY_CE_to_XY_NR,2030-05-26 20:00:00,-1083.2999999980323,MW
XY_CE_to_XY_NR,2030-05-27 21:00:00,-1086.6859999980302,MW
XY_CE_to_XY_NR,2030-05-28 22:00:00,-1091.0499999980264,MW
XY_CE_to_XY_NR,2030-05-29 23:00:00,-1051.0749999980246,MW
XY_CE_to_XY_NR,2030-05-31 00:00:00,-1168.0499999980516,MW
XY_CE_to_XY_NR,2030-06-01 01:00:00,-1099.6249999980464,MW
XY_CE_to_XY_NR,2030-06-02 02:00:00,-1179.6999999980465,MW
XY_CE_to_XY_NR,2030-06-03 03:00:00,-1206.3986842085899,MW
XY_CE_to_XY_NR,2030-06-04 04:00:00,-1241.374999998046,MW
XY_CE_to_XY_NR,2030-06-05 05:00:00,-1245.024999998045,MW
XY_CE_to_XY_NR,2030-06-06 06:00:00,-1112.5999999980486,MW
XY_CE_to_XY_NR,2030-06-07 07:00:00,-1085.1749999980568,MW
XY_CE_to_XY_NR,2030-06-08 08:00:00,-1297.8749999980544,MW
XY_CE_to_XY_NR,2030-06-09 09:00:00,-1237.8249999980553,MW
XY_CE_to_XY_NR,2030-06-10 10:00:00,-1197.8749999980525,MW
XY_CE_to_XY_NR,2030-06-11 11:00:00,-1143.3749999980519,MW
XY_CE_to_XY_NR,2030-06-12 12:00:00,-1380.8749999980578,MW
XY_CE_to_XY_NR,2030-06-13 13:00:00,-1307.2749999980572,MW
XY_CE_to_XY_NR,2030-06-14 14:00:00,-1376.846586014146,MW
XY_CE_to_XY_NR,2030-06-15 15:00:00,-1410.9015796547058,MW
XY_CE_to_XY_NR,2030-06-16 16:00:00,-1194.2249999980668,MW
XY_CE_to_XY_NR,2030-06-17 17:00:00,-1029.6749999980623,MW
XY_CE_to_XY_NR,2030-06-18 18:00:00,-1066.1749999980645,MW
XY_CE_to_XY_NR,2030-06-19 19:00:00,-1045.587499998035,MW
XY_CE_to_XY_NR,2030-06-20 20:00:00,-1001.599999998036,MW
XY_CE_to_XY_NR,2030-06-21 21:00:00,-924.4249999980343,MW
XY_CE_to_XY_NR,2030-06-22 22:00:00,-1111.8249999980326,MW
XY_CE_to_XY_NR,2030-06-23 23:00:00,-1064.874999998032,MW
XY_CE_to_XY_NR,2030-06-25 00:00:00,-907.7499999980259,MW
XY_CE_to_XY_NR,2030-06-26 01:00:00,-1096.0749999980508,MW
XY_CE_to_XY_NR,2030-06-27 02:00:00,-1183.9549707587248,MW
XY_CE_to_XY_NR,2030-06-28 03:00:00,-1269.2499999980196,MW
XY_CE_to_XY_NR,2030-06-29 04:00:00,-1184.6999999980435,MW
XY_CE_to_XY_NR,2030-06-30 05:00:00,-1234.0499999980439,MW
XY_CE_to_XY_NR,2030-07-01 06:00:00,-1265.9749999980463,MW
XY_CE_to_XY_NR,2030-07-02 07:00:00,-1303.2421052612217,MW
XY_CE_to_XY_NR,2030-07-03 08:00:00,-1142.8749999980553,MW
XY_CE_to_XY_NR,2030-07-04 09:00:00,-1129.1749999980555,MW
XY_CE_to_XY_NR,2030-07-05 10:00:00,-1219.774999998057,MW
